,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.00554032441271301,0.004411272424037261,0.000907739115190613,0.00022131287348513515,1369.0,7.58470412100411,6.03903194850701,1.2426948486959493,0.30297732380115,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.005511798533871008,0.004391503859952178,0.0009012336069892873,0.00021906106692954358,1369.0,7.54565219286941,6.011968784274531,1.2337888079683343,0.29989460062654516,1.0,0.994851225899959,0.995518625424863,0.9928332842636625,0.9898252346547621
hw_alphaS_dn,1.0,0.005562167926649955,0.00442643352483569,0.0009126710649339214,0.00022306333688034395,1369.0,7.6146078915837885,6.05978749550006,1.2494466878945385,0.30537370818919085,1.0,1.0039426416775925,1.0034368996835958,1.0054332237762749,1.0079094513014237
hw_pdf4lhc_unc_0,1.0,0.005583877685342506,0.004439325543202084,0.000918322557229585,0.00022622958491083655,1369.0,7.64432855123389,6.077436668643653,1.257183580847302,0.30970830174293523,1.0,1.0078611412229863,1.0063594166191052,1.0116591230474294,1.022216111282978
hw_pdf4lhc_unc_1,1.0,0.005512694306387619,0.004388349169145506,0.0009034544570472646,0.00022089068019484707,1369.0,7.54687850544465,6.007650012560198,1.2368291516977052,0.30239934118674566,1.0,0.9950129082221268,0.9948034823769113,0.9952798573162194,0.9980923238506664
hw_pdf4lhc_unc_2,1.0,0.005539829720490363,0.004411777306125886,0.0009071863484137931,0.00022086606595068402,1369.0,7.584026887351307,6.039723132086339,1.2419381109784828,0.30236564428648643,1.0,0.9999107106036045,1.0001144527111665,0.9993910510546813,0.9979811046351936
hw_pdf4lhc_unc_3,1.0,0.005520773258871219,0.004396299059884081,0.0009044312608720006,0.00022004293811513694,1369.0,7.5579385913946995,6.0185334129813075,1.2381663961337688,0.3012387822796225,1.0,0.9964711175040711,0.9966056587048243,0.9963559416320649,0.994261809762804
hw_pdf4lhc_unc_4,1.0,0.005507913020321841,0.004387571887267373,0.0009009767923754178,0.00021936434067904964,1369.0,7.540332924820601,6.006585913669034,1.233437228761947,0.300309782389619,1.0,0.9941499107314372,0.9946272788230575,0.9925503674987333,0.9911955740513378
hw_pdf4lhc_unc_5,1.0,0.0055579470102746055,0.004422347435871552,0.0009127080620993151,0.00022289151230373951,1369.0,7.608829457065935,6.054193639708154,1.2494973370139624,0.3051384803438194,1.0,1.0031807880277115,1.0025106161600772,1.005473981263503,1.0071330636747184
hw_pdf4lhc_unc_6,1.0,0.005536107029472341,0.004408578191012645,0.0009068090855978466,0.00022071975286185004,1369.0,7.578930523347635,6.03534354349631,1.241421638183452,0.3021653416678727,1.0,0.9992387840627183,0.9993892390300052,0.9989754439604918,0.9973199904102056
hw_pdf4lhc_unc_7,1.0,0.005534431464215855,0.004407546708770171,0.0009060974796456391,0.00022078727580004446,1369.0,7.576636674511506,6.033931444306364,1.2404474496348799,0.30225778057026087,1.0,0.9989363531702886,0.9991554102968594,0.9981915117267706,0.9976250921294645
hw_pdf4lhc_unc_8,1.0,0.005528295775139469,0.004402453572916144,0.00090535955105425,0.00022048265116907497,1369.0,7.568236916165933,6.026958941322201,1.2394372253932682,0.30184074945046363,1.0,0.9978288929171838,0.9980008373382104,0.9973785814706648,0.9962486487885399
hw_pdf4lhc_unc_9,1.0,0.005544557576369789,0.004414703182357073,0.0009082223197306702,0.00022163207428204564,1369.0,7.590499322050241,6.043728656646833,1.2433563557112874,0.30341430969212047,1.0,1.0007640642210527,1.0007777253341048,1.000532316534532,1.001442305600591
hw_pdf4lhc_unc_10,1.0,0.005536492834327279,0.004408372535743948,0.0009070314354774358,0.00022108886310589533,1369.0,7.579458690194045,6.035062001433465,1.2417260351686097,0.3026706535919707,1.0,0.9993084198504805,0.9993426186336823,0.9992203930608096,0.9989878113472922
