,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.002607477770388494,0.0022203329884832165,0.00033612184980372917,5.1022932101548364e-05,52170.0,136.03211528116773,115.8347720091694,17.535476904260552,2.6618663677377783,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.0026134981625551687,0.002226899154578607,0.0003357596139128977,5.0839394063663535e-05,52170.0,136.34619914050316,116.17732889436593,17.516579057835873,2.6522911883013265,1.0,1.0023088949156325,1.002957288897408,0.9989223078147316,0.9964028324064258
hw_alphaS_dn,1.0,0.0025401452711377084,0.0021652548871282946,0.0003256880682453445,4.9202315764069e-05,52170.0,132.51937879525426,112.96134746148313,16.991146520359624,2.56688481341148,1.0,0.9741771531034937,0.9751937652412453,0.9689583358996827,0.9643176849606392
hw_pdf4lhc_unc_0,1.0,0.002607477770388494,0.0022203329884832165,0.00033612184980372917,5.1022932101548364e-05,52170.0,136.03211528116773,115.8347720091694,17.535476904260552,2.6618663677377783,1.0,1.0,1.0,1.0,1.0
hw_pdf4lhc_unc_1,1.0,0.0026005306378862024,0.0022142109363778475,0.00033546719156030445,5.085250994805005e-05,52170.0,135.6696833785232,115.51538455083231,17.501323383701084,2.652975443989771,1.0,0.9973356886945746,0.9972427324472843,0.9980523186939291,0.9966598910239197
hw_pdf4lhc_unc_2,1.0,0.002583506274290918,0.0022009247143858364,0.0003324241747363464,5.015738516873498e-05,52170.0,134.7815223297572,114.82224234950908,17.34256919599519,2.616710784252904,1.0,0.9908066345301941,0.9912588453182247,0.9889990041720228,0.9830361193063007
hw_pdf4lhc_unc_3,1.0,0.0025987655432637316,0.0022134804544088863,0.000334774603290619,5.051048556422608e-05,52170.0,135.57759839206886,115.4772753065116,17.465191053671592,2.6351320318856746,1.0,0.9966587530587215,0.9969137358631007,0.9959917913283624,0.9899565447100847
hw_pdf4lhc_unc_4,1.0,0.002620357373250305,0.0022305797918892537,0.00033825676160276983,5.1520819758281664e-05,52170.0,136.70404416246842,116.36934774286236,17.6468552528165,2.6878411667895543,1.0,1.0049394871197281,1.0046149849861201,1.006351600767065,1.0097581153459072
hw_pdf4lhc_unc_5,1.0,0.002589263534983422,0.0022060069637415683,0.0003329663596987874,5.029021154306667e-05,52170.0,135.08187862008515,115.08738329839761,17.37085498548574,2.623640336201788,1.0,0.9930146152684716,0.9935478034979632,0.9906120649199558,0.9856393874616339
hw_pdf4lhc_unc_6,1.0,0.0026088051156827365,0.002221291243050797,0.00033648843971581885,5.102543291612006e-05,52170.0,136.10136288516836,115.88476414996009,17.55460189997427,2.6619968352339836,1.0,1.0005090533500673,1.0004315814666318,1.0010906458842344,1.000049013540945
