,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.05065816390880761,0.0393232042640941,0.009278998536729925,0.0020559611079835893,568.8,28.814363631329766,22.367038585416722,5.277894367691981,1.1694306782210655,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.05052713829922629,0.039218498318278935,0.009255701064522679,0.002052938916424671,568.8,28.739836264599912,22.307481843437056,5.264642765500499,1.1677116556623528,1.0,0.9974135341774883,0.997337298733034,0.997489225575904,0.9985300346649639
hw_alphaS_dn,1.0,0.050310436631486745,0.039085452489506206,0.009194346321035576,0.002030637820944968,568.8,28.616576355989658,22.23180537603113,5.229744187405035,1.1550267925534976,1.0,0.9931358096999562,0.9939539063757074,0.9908770094790659,0.9876829931557132
hw_pdf4lhc_unc_0,1.0,0.05065816390880761,0.0393232042640941,0.009278998536729925,0.0020559611079835893,568.8,28.814363631329766,22.367038585416722,5.277894367691981,1.1694306782210655,1.0,1.0,1.0,1.0,1.0
hw_pdf4lhc_unc_1,1.0,0.05063070679080117,0.03929761507804788,0.009279224713594103,0.002053866999159193,568.8,28.798746022607705,22.35248345639363,5.278023017092325,1.168239549121749,1.0,0.9994579922388055,0.9993492598956494,1.0000243751373905,0.9989814453122364
hw_pdf4lhc_unc_2,1.0,0.05042178661758238,0.03916502356983269,0.009219617998879109,0.0020371450488705727,568.8,28.679912228080855,22.27706540652083,5.244118717762436,1.1587281037975816,1.0,0.9953338756680808,0.9959774210362138,0.9936005445398268,0.9908480471542233
hw_pdf4lhc_unc_3,1.0,0.05054265714366712,0.0392564647088758,0.009243070234075168,0.0020431222007161426,568.8,28.748663383317854,22.329077126408556,5.257458349141955,1.1621279077673419,1.0,0.9977198785698506,0.9983027945848442,0.9961279978100505,0.9937552771705693
hw_pdf4lhc_unc_4,1.0,0.050691022453543906,0.039342429565322884,0.009288575030455621,0.0020600178577654055,568.8,28.83305357157577,22.377973936755655,5.283341477323157,1.1717381574969625,1.0,1.0006486327612554,1.000488904746919,1.0010320611311434,1.00197316465086
hw_pdf4lhc_unc_5,1.0,0.05035713037294246,0.039140250886719394,0.009197863416231793,0.002019016069991277,568.8,28.64313575612967,22.26297470436599,5.231744711152643,1.1484163406110381,1.0,0.9940575513868395,0.995347444828097,0.9912560477106481,0.9820302836231436
hw_pdf4lhc_unc_6,1.0,0.05071599591268726,0.03935164482079567,0.009297623974256207,0.0020667271176353823,568.8,28.84725847513651,22.383215574068576,5.28848851655693,1.1755543845110055,1.0,1.0011416127118968,1.0007232512516164,1.0020072680745185,1.0052364850725954
