,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_alphaS_up,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_alphaS_dn,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_0,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_1,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_2,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_3,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_4,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_5,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_6,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_7,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_8,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_9,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_10,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_11,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_12,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_13,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_14,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_15,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_16,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_17,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_18,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_19,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_20,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_21,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_22,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_23,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_24,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_25,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_26,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_27,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_28,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_pdf4lhc_unc_29,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
hw_qcd_0,18148000.0,36.0,1586227.0,56664.0,16140.0,2870.0,448.0,182850.0,41265.0,5938.0,761.0,2258032.0,7112496.0,2477130.0,1920817.0,374433.0,263256.0,411343.0,170029.0,218488.0,366708.0,276732.0,113103.0,168605.0,25967.0,41166.0,14388.0,23136.0,7528.0,11444.0
