,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,0.00036021929674186215,3.877156245906104e-07,0.0001130145785449375,1.3305489809272503e-05,6.911977731300725e-06,2.9098581255187555e-06,1.19364993622876e-06,2.4619082293244324e-05,1.1239659733855788e-05,4.228924880788531e-06,1.4873666989783674e-06,0.0001410043569071834,0.0002412860489655287,0.00012790412042027556,0.00010039483096986464,3.721811639249474e-05,3.885241702273417e-05,4.5822058759492344e-05,2.5858779682552335e-05,3.415711640825335e-05,4.162427895878561e-05,3.325925723369562e-05,2.3082482432990014e-05,2.6737793398275147e-05,1.1015459016084294e-05,1.3115750033423516e-05,8.208195068172122e-06,9.861340269472955e-06,6.025381488823779e-06,6.927659744552923e-06
hw_alphaS_up,0.0003597861102723333,3.926284590492929e-07,0.00011406650450939165,1.3518961165568438e-05,7.0328747084293315e-06,2.973643888129479e-06,1.2166583719946276e-06,2.500360978419054e-05,1.1425499818157858e-05,4.30278669598044e-06,1.5125962225336807e-06,0.00013627024221242643,0.00024078792205658374,0.00012925551719521135,0.00010185638825921651,3.7819338900393234e-05,3.9255546661881265e-05,4.650406138933256e-05,2.6271948335672177e-05,3.453497619978647e-05,4.2222676403890225e-05,3.3761798048402614e-05,2.3420768794408813e-05,2.7141441113234837e-05,1.1188615364450824e-05,1.333006764942557e-05,8.345363507164106e-06,1.0032954119250004e-05,6.146863158816776e-06,7.0683217945891875e-06
hw_alphaS_dn,0.00036086491022090567,3.837902979600456e-07,0.00011255926110281946,1.3120473308212635e-05,6.820162115571679e-06,2.870523733590582e-06,1.1768823837377516e-06,2.4291825208702605e-05,1.109506490035656e-05,4.174449783080043e-06,1.470538089507343e-06,0.00014580544448573228,0.00024159986304717228,0.00012653575331938435,9.898314100191175e-05,3.6669157217569174e-05,3.844827400665118e-05,4.516826874858062e-05,2.548313183098368e-05,3.3781255508531746e-05,4.1053740851679484e-05,3.2801963453803256e-05,2.276186460027629e-05,2.636305116064031e-05,1.0856396517817542e-05,1.2921185618759985e-05,8.081193922339368e-06,9.71026183285443e-06,5.924384771351492e-06,6.809156276870579e-06
hw_pdf4lhc_unc_0,0.0003602064681490767,3.871963140706854e-07,0.00011196765727901003,1.3294744442693883e-05,6.898026817656353e-06,2.911100732189184e-06,1.1869483343715942e-06,2.459838462736864e-05,1.1217004442804548e-05,4.21317959560775e-06,1.4659549164237583e-06,0.00014113273346775114,0.00024156008028023362,0.0001280186484635354,0.00010047714515711981,3.722640270046179e-05,3.889111485048606e-05,4.585887784599504e-05,2.586442705415669e-05,3.4194454335185533e-05,4.1664519852592024e-05,3.327111521784047e-05,2.309313263786587e-05,2.674403962560285e-05,1.10119992422403e-05,1.311362766328853e-05,8.200695014601952e-06,9.84921531441286e-06,6.0200378465573666e-06,6.91862519872392e-06
hw_pdf4lhc_unc_1,0.0003603775711690748,3.8435828158240847e-07,0.00011232131799121649,1.3252669849156116e-05,6.870839891192565e-06,2.8849818080806595e-06,1.1818702744185925e-06,2.4498432922144183e-05,1.1157375442655946e-05,4.186513470334082e-06,1.469512401213763e-06,0.00014139426040857576,0.0002416249167201066,0.00012804339136678156,0.00010037538295106875,3.714771512867486e-05,3.888225383736787e-05,4.57936285349746e-05,2.5801746159834402e-05,3.4153463614252006e-05,4.1560959603865914e-05,3.315433529433418e-05,2.3079640805323305e-05,2.669471929624748e-05,1.1007492195208059e-05,1.3094826015810727e-05,8.202709740116105e-06,9.834805426885474e-06,6.029955422383234e-06,6.910701406756773e-06
hw_pdf4lhc_unc_2,0.0003602399378678192,3.873499825561678e-07,0.00011284755779980564,1.3293944311176002e-05,6.903533941419557e-06,2.9031718758192945e-06,1.1875773247949599e-06,2.4596825853486847e-05,1.1223485176428908e-05,4.218132738304114e-06,1.4821046172798109e-06,0.00014107037847367094,0.00024135876172590314,0.00012792259049304708,0.00010039199635786519,3.720437510660831e-05,3.8858808540127144e-05,4.581956175442679e-05,2.5848543397129675e-05,3.41599054750347e-05,4.162105937662713e-05,3.324651505948133e-05,2.3079726090765563e-05,2.6730757875561346e-05,1.1013436054540733e-05,1.3111547512399707e-05,8.203208357695896e-06,9.854101646613213e-06,6.018876871390759e-06,6.9229135744416435e-06
hw_pdf4lhc_unc_3,0.0003604501685710048,3.8372820945185647e-07,0.00011319284795320262,1.3181951578586556e-05,6.8365938003810635e-06,2.8843781830750285e-06,1.176019046917406e-06,2.436030037387997e-05,1.1095843431212402e-05,4.165656041083268e-06,1.4664184008152826e-06,0.0001418936141265827,0.00024157115684951013,0.00012773328368289466,9.998760064842883e-05,3.696664673634337e-05,3.878423968918404e-05,4.5602794374206234e-05,2.56692508700858e-05,3.404961027092842e-05,4.1370877778329527e-05,3.2974591146689345e-05,2.300298703000334e-05,2.6587065645705402e-05,1.0983808036286122e-05,1.304409758342087e-05,8.179828351937557e-06,9.818448225435858e-06,6.0284444615341025e-06,6.898656899113686e-06
hw_pdf4lhc_unc_4,0.0003603505951613939,3.838386242449016e-07,0.00010929718954095168,1.3078445110006422e-05,6.740285512763196e-06,2.8120992745618033e-06,1.1437951146258288e-06,2.420549944395326e-05,1.0962769817087737e-05,4.086275025117367e-06,1.4241934727100657e-06,0.00014247664133663874,0.00024268500969281298,0.0001280350449076736,0.00010011225794180398,3.6864152578525875e-05,3.889581261073989e-05,4.565515681699178e-05,2.5611602351312186e-05,3.417179162364641e-05,4.145598597036862e-05,3.294834947433755e-05,2.2954113522870907e-05,2.654070796265036e-05,1.0918035836687316e-05,1.297568960096191e-05,8.112581251440037e-06,9.727923332674277e-06,5.935852605355238e-06,6.8060083110962635e-06
hw_pdf4lhc_unc_5,0.0003602757554507507,3.856318511100187e-07,0.00011189061959849153,1.3262373574861476e-05,6.877470182845313e-06,2.899333463005473e-06,1.1811591965757175e-06,2.451487010239946e-05,1.1169192334172358e-05,4.189255031806161e-06,1.4691837170380015e-06,0.00014139521749818786,0.0002416523244364156,0.0001280290633415051,0.00010038512901060754,3.716385374257788e-05,3.888753113044498e-05,4.580639750297448e-05,2.5816787143239544e-05,3.416724422445581e-05,4.158698574622232e-05,3.3179440683014916e-05,2.3084909065692492e-05,2.6706546136665664e-05,1.1015877754904397e-05,1.3097952267650906e-05,8.205299083989336e-06,9.84707723050802e-06,6.036558453478843e-06,6.913322982075271e-06
hw_pdf4lhc_unc_6,0.0003602241420014793,3.87820743228414e-07,0.0001129722169953517,1.330731254349838e-05,6.917375513760434e-06,2.9211113139729894e-06,1.1949355686383143e-06,2.4620369281562013e-05,1.1242953654859158e-05,4.2302120972195085e-06,1.46215820813248e-06,0.00014099502173573026,0.00024129879473421665,0.00012791719918606585,0.00010040853555517237,3.722463051970455e-05,3.8856088402005905e-05,4.582810239445532e-05,2.586392676375341e-05,3.416096149133843e-05,4.1628642314770275e-05,3.3261331651890865e-05,2.3086278294991315e-05,2.674238907785585e-05,1.1016885917880785e-05,1.3118728853051403e-05,8.20842823203671e-06,9.866049533552878e-06,6.0356081415827376e-06,6.933205262381952e-06
hw_pdf4lhc_unc_7,0.0003602136355033417,3.870843435819989e-07,0.00011236363216484876,1.329436958362644e-05,6.902571882369297e-06,2.911683461974982e-06,1.1873995531405967e-06,2.459845164810837e-05,1.1215931037249973e-05,4.212986890585749e-06,1.477952996492149e-06,0.00014105913509778497,0.00024145206282720575,0.0001280039644580918,0.00010045919666880251,3.722428440587563e-05,3.888602074059273e-05,4.585234585102372e-05,2.5865450598703106e-05,3.4184500437281814e-05,4.1650687874179264e-05,3.326451611917404e-05,2.3092597256014754e-05,2.674050857037655e-05,1.1013872596088435e-05,1.3112125044035965e-05,8.204463468597818e-06,9.850258461486941e-06,6.0285153089800925e-06,6.9165875798193484e-06
hw_pdf4lhc_unc_8,0.000360251527024828,3.8675308663185737e-07,0.000113053485177092,1.3266537130347747e-05,6.885031581619924e-06,2.895966437730637e-06,1.1862337309053117e-06,2.4541208592539828e-05,1.119340199806134e-05,4.2070470010462525e-06,1.4749539644240168e-06,0.00014124639022387061,0.00024134672671192542,0.00012783587287890931,0.00010027183679126635,3.714245425391247e-05,3.882974487897125e-05,4.575937565607543e-05,2.5804062904003098e-05,3.412831014855287e-05,4.155833960469294e-05,3.318242032380428e-05,2.3052927245017637e-05,2.669118748761108e-05,1.0999640671149652e-05,1.3089463723904565e-05,8.19377962404299e-06,9.839803496113733e-06,6.0137136339597564e-06,6.910174451026467e-06
hw_pdf4lhc_unc_9,0.000360197367837368,3.8790062191581594e-07,0.00011264996642875711,1.3316649671510053e-05,6.920517557818949e-06,2.9094842155852297e-06,1.1932352920337214e-06,2.4641894546346513e-05,1.1246355761545244e-05,4.228552679573542e-06,1.460000702875087e-06,0.00014093329684945218,0.00024133954903733022,0.00012798428367143984,0.0001004812906924828,3.725590401121044e-05,3.8879984862947575e-05,4.5865832192482896e-05,2.588607827731949e-05,3.418453827518228e-05,4.166856225524286e-05,3.329542608596343e-05,2.3100506841600464e-05,2.676215757680334e-05,1.1024313997398134e-05,1.3127139601159622e-05,8.21252845521163e-06,9.864055819422797e-06,6.0305236330807e-06,6.930779498847633e-06
hw_pdf4lhc_unc_10,0.0003602710604105225,3.860875511960934e-07,0.0001126807315495532,1.3246685805236109e-05,6.875480084915154e-06,2.9004436162164093e-06,1.183472188851126e-06,2.4498726403831158e-05,1.1166034342753257e-05,4.194001716615757e-06,1.4732197423768727e-06,0.00014134200742368464,0.00024148489375637656,0.00012790405518808013,0.00010026839186504254,3.711279024217804e-05,3.884525494325495e-05,4.574927864005242e-05,2.578219254310749e-05,3.413049949957899e-05,4.1536229670693146e-05,3.3144624376233306e-05,2.304872741949541e-05,2.667310675631401e-05,1.0995249013347181e-05,1.3081401071806213e-05,8.191297113880447e-06,9.830266145802934e-06,6.026128317703531e-06,6.908595908673233e-06
hw_pdf4lhc_unc_11,0.000360205407353081,3.8763913452460263e-07,0.00011237043865191477,1.3319228120609053e-05,6.920514509356088e-06,2.9209871632882425e-06,1.191681362833232e-06,2.4636365734256366e-05,1.1241533720893301e-05,4.225087478645822e-06,1.485107135694452e-06,0.0001409641907050314,0.00024140371100111555,0.00012804454276531347,0.00010051520295923699,3.726679596285328e-05,3.889953243057665e-05,4.588122641425827e-05,2.589081217437492e-05,3.419623380560504e-05,4.167315175198914e-05,3.329320028044815e-05,2.3116431985126405e-05,2.6768874206103044e-05,1.1030504776314425e-05,1.313215582640621e-05,8.220529878708732e-06,9.869247778853851e-06,6.048686840756538e-06,6.939996712117114e-06
hw_pdf4lhc_unc_12,0.0003602334187633301,3.881960374211501e-07,0.00011315086200259669,1.3322817220962282e-05,6.929539925336914e-06,2.9282252842479088e-06,1.196285861394352e-06,2.4658463452028785e-05,1.1263677274726357e-05,4.238278322858482e-06,1.473469125635357e-06,0.0001408916959703201,0.00024123576973842243,0.00012792517765087535,0.00010044651027380127,3.7254641824207116e-05,3.8862093706949726e-05,4.585124157656377e-05,2.588547713451548e-05,3.416842248091721e-05,4.165254805949349e-05,3.329244745004792e-05,2.309876550926118e-05,2.6762298890498308e-05,1.1025005764499992e-05,1.3129192296202698e-05,8.213539408339661e-06,9.877166614771827e-06,6.042364362772028e-06,6.940025636545254e-06
hw_pdf4lhc_unc_13,0.0003602545913051784,3.871762231217704e-07,0.00011312589235427658,1.32899474053962e-05,6.903824139260112e-06,2.9065397117810578e-06,1.1924552079032423e-06,2.4591712085178307e-05,1.122619774679836e-05,4.223945995555331e-06,1.4751975621414788e-06,0.00014112791387116226,0.0002413131142508855,0.0001278497024614004,0.00010032608298508407,3.7179984303228636e-05,3.8833037921247894e-05,4.578583975763533e-05,2.583138214780141e-05,3.413909423280535e-05,4.1590899618959195e-05,3.322643741968945e-05,2.3067127072559887e-05,2.6717587035237764e-05,1.1008631288598557e-05,1.310703997205622e-05,8.203318917874001e-06,9.856040078629809e-06,6.024376495049153e-06,6.92472173659249e-06
hw_pdf4lhc_unc_14,0.00036024898940925464,3.876865967909046e-07,0.00011331746216734992,1.3288419321727513e-05,6.903366925220001e-06,2.9035904841749934e-06,1.1921029552188723e-06,2.459450756231627e-05,1.1227157425807068e-05,4.223686335050762e-06,1.486825831748047e-06,0.0001410665495314582,0.00024126043405026088,0.00012783851167355172,0.00010032007084409333,3.717959590428576e-05,3.8830818332290866e-05,4.578575497797549e-05,2.5833175957236698e-05,3.413765430151573e-05,4.159114484942514e-05,3.322940411737776e-05,2.306143083508393e-05,2.6715825948129858e-05,1.1003744387648472e-05,1.3105364607780183e-05,8.197664547361467e-06,9.853562543314345e-06,6.015526674134647e-06,6.92597110235042e-06
hw_pdf4lhc_unc_15,0.0003602938702421818,3.8694700369459893e-07,0.00011324874596050777,1.3279652889818966e-05,6.901588901230925e-06,2.91288236232099e-06,1.1917308294448817e-06,2.457010847497491e-05,1.1214947576564031e-05,4.217628161294621e-06,1.4844208932679114e-06,0.00014118747345775784,0.00024131897224393274,0.00012784503463413168,0.0001002928037011086,3.7161954147076783e-05,3.883018062622522e-05,4.576904003408352e-05,2.5817174443171158e-05,3.4126909609805966e-05,4.156222314554906e-05,3.319547752236505e-05,2.3064697717673677e-05,2.6705186828997425e-05,1.1010207750219535e-05,1.3102272619613512e-05,8.202628346614154e-06,9.860519542367573e-06,6.039221906606777e-06,6.9279826532583426e-06
hw_pdf4lhc_unc_16,0.00036013831154458296,3.905893708325843e-07,0.00011300494819650468,1.346624260164472e-05,7.011193468196938e-06,2.9564607741661707e-06,1.214777939480732e-06,2.4927835570383775e-05,1.1406338114283415e-05,4.299458165666564e-06,1.5053131770686493e-06,0.0001399447721404037,0.0002409896734703308,0.00012824081782337665,0.00010096566095337335,3.7561026600572414e-05,3.8972611978509825e-05,4.612056732201281e-05,2.6105065657577877e-05,3.4299043414593316e-05,4.1928689421448975e-05,3.359204959252038e-05,2.3217888733296945e-05,2.6938235275706675e-05,1.1081405192336028e-05,1.3220611914910073e-05,8.260263256433597e-06,9.937842646042102e-06,6.061311605011299e-06,6.98842728301051e-06
hw_pdf4lhc_unc_17,0.00036020887911894473,3.887184605576418e-07,0.00011334058255351401,1.3309545585859337e-05,6.919315104880393e-06,2.9163478249873425e-06,1.1952205329758747e-06,2.463548926970233e-05,1.12553946381391e-05,4.238730843223052e-06,1.4741236073452053e-06,0.00014092835511590038,0.0002411977734026263,0.00012785348394621268,0.00010037503660869471,3.721827408825261e-05,3.88377257474749e-05,4.581460456233155e-05,2.5860549640464483e-05,3.414923465279036e-05,4.162412264095391e-05,3.326984082026899e-05,2.3075153671002195e-05,2.6737918691684384e-05,1.1011517209848224e-05,1.3119680586812668e-05,8.20586081853216e-06,9.862444218571662e-06,6.022458680486346e-06,6.9365799125180595e-06
hw_pdf4lhc_unc_18,0.00036021585380753514,3.864290696092695e-07,0.00011134682911461403,1.3253518783933064e-05,6.87145531569304e-06,2.900900711503141e-06,1.1824144279605733e-06,2.450422487894108e-05,1.1163044504005822e-05,4.189199150684915e-06,1.4692618466692466e-06,0.00014144714809855163,0.000241763835269775,0.00012806691202943562,0.00010039338990621131,3.7148891897261094e-05,3.890073944743826e-05,4.581000977504796e-05,2.5805069136389814e-05,3.4181505601258645e-05,4.159356001042738e-05,3.317262191090489e-05,2.3078251151774404e-05,2.6701627779262667e-05,1.1006350367008106e-05,1.3089941381554416e-05,8.199475309776623e-06,9.833434773301919e-06,6.031306862214277e-06,6.910455738252576e-06
hw_pdf4lhc_unc_19,0.0003602146510470895,3.877328191016465e-07,0.00011301787841065523,1.330035577697206e-05,6.909701258988334e-06,2.9091069806382124e-06,1.194172144822156e-06,2.4603731262432248e-05,1.1231316489135929e-05,4.226399863487416e-06,1.487718718415461e-06,0.0001410099961152182,0.00024128001834176858,0.00012792226942763085,0.00010038576443905644,3.721306903348017e-05,3.885653924183449e-05,4.581540639341015e-05,2.5852167309013275e-05,3.415274918497573e-05,4.160592673551871e-05,3.32378849080972e-05,2.3084138573597765e-05,2.672977326183761e-05,1.101830877490251e-05,1.3112737024593166e-05,8.211651883061416e-06,9.861363812407933e-06,6.0301801359317065e-06,6.931007432151941e-06
hw_pdf4lhc_unc_20,0.0003602382020879242,3.873158737453445e-07,0.00011285547557112753,1.3301322327181856e-05,6.907963246102566e-06,2.9066340324239193e-06,1.1936823405459424e-06,2.460925565945725e-05,1.1230724541949874e-05,4.223226482748234e-06,1.4843823853142148e-06,0.00014104689686406167,0.0002413400093569372,0.00012793623000882583,0.0001004092762358069,3.7219497555795756e-05,3.886051337344494e-05,4.582621876994463e-05,2.5856795979393415e-05,3.4160627661898325e-05,4.162254096859835e-05,3.3252014381263995e-05,2.3088377373670937e-05,2.673969395942001e-05,1.1017761053549263e-05,1.3119309842877954e-05,8.21106166937444e-06,9.862076201270449e-06,6.02996588262221e-06,6.932591409074961e-06
hw_pdf4lhc_unc_21,0.00036023886794197136,3.9036657116690024e-07,0.00011450385619507253,1.3355744730028665e-05,6.970097089058364e-06,2.950345967853771e-06,1.2182319392825507e-06,2.471782077425434e-05,1.1331678057364016e-05,4.287979438697277e-06,1.4934090748505783e-06,0.00014071680103847227,0.00024087431127553925,0.000127732686307691,0.00010033566958523469,3.725847625017224e-05,3.879343766020393e-05,4.579664269772386e-05,2.5882997059766006e-05,3.411532671926568e-05,4.160900404425192e-05,3.3291983036233257e-05,2.3083965589002245e-05,2.675967048594145e-05,1.1030906694495159e-05,1.3147966385156478e-05,8.231306457122738e-06,9.901993694979278e-06,6.076489949448743e-06,6.995905244418641e-06
