,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,1.0,0.0025488298186923854,0.03290516888191467,0.09454137972630558,0.056456519898809,0.015774477066819434,0.0035381908715153452,0.0007234176541159478,0.029296243863049506,0.022675684951327706,0.008118743551151811,0.002074723167637117,0.0004480547445881616,0.012541726331370772,0.011647547208487388,0.005115712289805285,0.0015767705054295705,0.0004166045674133701,0.07713923510814992,0.03315415553305896,0.20576123792751794,0.008197591742909632,0.13530750261907867,0.024098579598220225,0.01327354689204688,0.0956886115007741,0.07857398111082187,0.0030001179911513256,0.015375944938341159,0.0003593519230600816,0.0023238628962689483,0.00013696699905435325,0.0009288863469242071,3.452303532812274e-05,0.0003102409147054053,0.0005381266467068856,0.0038460980798423693,0.00010963817183240023,0.0008358871898873664,4.7348433905128924e-05,0.00038642419449203306,1.4844744155290615e-05,0.0001575003633337387
hw_alphaS_up,1.0,0.002546181618126521,0.03279740804556673,0.09432555861623085,0.056209660515652925,0.01564233352634504,0.0034970922966318587,0.0007106074612015792,0.029530341400583342,0.022834813730691194,0.008161747498158444,0.002080782158167847,0.00044763128587115003,0.012642833525195822,0.011731235410928385,0.0051441468846689965,0.0015820861747121908,0.0004170025240523815,0.07692729135618226,0.033092843657103965,0.20527158777350996,0.00818520975415518,0.13457899250651478,0.024277475455267344,0.013314375596686866,0.09627679816766735,0.07917064325089868,0.0030239144139209153,0.015493726314850461,0.00036297311392902674,0.002342372098181329,0.00013823613278041028,0.0009369365739305971,3.490476406587746e-05,0.0003124342221119204,0.0005395902704845888,0.0038612209102479524,0.0001098303681340488,0.0008395453618118114,4.742252451510693e-05,0.0003874675568333528,1.4944195320767733e-05,0.00015780098811019971
hw_alphaS_dn,1.0,0.002551367064239494,0.033002727687437235,0.09479412427922065,0.056705657328226605,0.015897665075687597,0.0035741152581366706,0.0007345818845829652,0.02906060701172254,0.022512349779359855,0.008071399957701408,0.0020662695658205076,0.0004476847613261805,0.012442509259618017,0.01156492559714339,0.005086900186200872,0.0015715130742788128,0.00041587118385400743,0.07732122898872817,0.03323093126563314,0.20629602123054006,0.00821037151806426,0.1360413001738011,0.023915445854175665,0.013230870526877613,0.09507082168472773,0.07796985662751169,0.002976289899615052,0.015262305607489366,0.0003559916665244701,0.0023060896782164824,0.00013568338054099327,0.0009213110654102761,3.415850095835589e-05,0.00030811361906753557,0.0005360943956404461,0.0038303504358734924,0.00010935741783150269,0.0008325657490159848,4.72489435594072e-05,0.0003854657251863627,1.4756483626956976e-05,0.00015710060682703222
hw_pdf4lhc_unc_0,1.0,0.002546238047637541,0.03288166985964813,0.09437427381637012,0.056417716641675955,0.01580172615856108,0.003558234960915912,0.0007343550148551632,0.029320651085350546,0.02271210018517964,0.008145682885558064,0.0020884077856893795,0.00045408438978114193,0.01255677176097527,0.011670528717140423,0.005131195701267016,0.0015859067485259034,0.00042142291978357934,0.07707311476936307,0.033089699046553844,0.2055381409705408,0.008194434712892945,0.13522370635086492,0.024137259077455005,0.013277924064806318,0.09581929635851903,0.07873407420517543,0.003008889115306652,0.015421213562693334,0.0003603251200270715,0.002330694785816682,0.0001373681624405207,0.0009313926576270187,3.460201135721888e-05,0.0003108454099787443,0.0005430335027775322,0.0038701473183569406,0.00011092181702448908,0.0008415099537095773,4.7884595551543964e-05,0.0003893518615796427,1.4949267253775493e-05,0.0001582546234129575
hw_pdf4lhc_unc_1,1.0,0.002532043091429195,0.03268735209749525,0.09477654286186553,0.05648281404671739,0.015735136468932293,0.0035202495890385003,0.0007180978303406173,0.02934188140493002,0.02268702587456036,0.008098951517895235,0.0020657667735397983,0.0004457894751591008,0.01256808334292524,0.01165509714872982,0.005106299762945124,0.0015695276480803394,0.00041372932514147293,0.0766393156372244,0.033248580037085,0.2060915535801902,0.008204727104300823,0.13536213733549007,0.024114624848740062,0.013283580681955242,0.09569085013529113,0.0785987698723066,0.0029967224923377928,0.015364451837127832,0.00035935782211368494,0.0023195879480273443,0.000136473849812938,0.000928481996328991,3.484227640363004e-05,0.0003093545530298305,0.0005361734917848242,0.003831344413607979,0.00010923731530693205,0.0008328630352131804,4.748458315059829e-05,0.0003843231720483529,1.4756262600127984e-05,0.00015601745879710845
hw_pdf4lhc_unc_2,1.0,0.0025479600297994144,0.03288677942565584,0.0945579404581254,0.056462309261474226,0.015776106304241394,0.0035374166339726875,0.0007236946520998604,0.029300270744224637,0.02267780844768994,0.008117206401324923,0.0020729494493316723,0.00044754729491664684,0.012542749466640381,0.011647412399839836,0.005114642021678296,0.0015771296844288773,0.00041578969945199867,0.0770798744828429,0.03315943601744082,0.20579621601909304,0.008198199996696872,0.13531974909881864,0.02409943042029836,0.013274983295040208,0.09569390903886353,0.07857648825711562,0.0030002833773388514,0.015373192629340261,0.0003592738485094897,0.0023230312631994455,0.00013679128912002456,0.0009282374809052786,3.446339935460799e-05,0.0003104144075844962,0.0005380672303899586,0.003842934849564822,0.00010953295952104478,0.0008355431514910212,4.717583676761046e-05,0.0003860191419265653,1.4657652800175675e-05,0.00015638248108032366
hw_pdf4lhc_unc_3,1.0,0.0025403795459648906,0.032792045386461875,0.09486798108628282,0.05665829618850525,0.015827368628728185,0.003545456163999331,0.0007224971859816868,0.029194704174464372,0.022589360986556402,0.008084181693185699,0.0020637838587841562,0.00044522459609482463,0.012453600551793838,0.01155584929452889,0.005069656850722231,0.001560754662938015,0.0004115330728505859,0.07691686812928848,0.0332709709460557,0.2064039610806008,0.008215257648741365,0.13578620806686026,0.02399851998786673,0.013273597158891676,0.09555239516836042,0.07809976404317477,0.0029741615689145478,0.015219373569891524,0.0003552604845074155,0.0022961230572725163,0.00013544833434887506,0.0009173756795616408,3.4104881225810955e-05,0.00030652814696213384,0.0005341893457987593,0.003798558599668272,0.00010829027062664774,0.0008231988155214578,4.683323050094245e-05,0.0003810219673710563,1.4535044813524562e-05,0.00015478084533163215
hw_pdf4lhc_unc_4,1.0,0.0025498532335985905,0.032938656967142356,0.09451627714832037,0.056389467706728647,0.015729856821656455,0.0035220209253569116,0.0007194980820005381,0.029386918318538218,0.022711667416385663,0.008110571613491416,0.0020664358942916483,0.00044500308342390637,0.012573424299824963,0.011658187031614585,0.00510708677745467,0.0015691548344641934,0.0004128411910130736,0.07721235521750767,0.03314611195496207,0.20565603009811134,0.008195956887950221,0.13513305016069097,0.024149497734398107,0.013284410072500145,0.09578055894597333,0.0787096962253859,0.0029979867159642256,0.01535627845836365,0.00035744082058962576,0.0023140548368069413,0.0001361392189761861,0.000923625300359678,3.421141034349462e-05,0.0003083953100662612,0.0005353692763309894,0.0038255748375493957,0.00010888534494673632,0.0008280486033040433,4.6882835390914955e-05,0.0003824065354974489,1.459137231749153e-05,0.00015552048040699286
hw_pdf4lhc_unc_5,1.0,0.00254496356334069,0.032893101411595904,0.0945641217376203,0.056509887914303635,0.015810731238152437,0.003555556962601275,0.0007308536858233158,0.02925281540136983,0.022654797390568943,0.008120633768752812,0.0020798066830894656,0.0004507676642110504,0.012510977013644613,0.011621097591385328,0.005106774745743293,0.0015769340678096918,0.0004172616217492113,0.07711009684242011,0.03315871704646857,0.2058602225651391,0.008200959984429152,0.135444380781586,0.024069357466650683,0.013271971172919365,0.09568307564153308,0.07844534993614344,0.002995313940477954,0.01534278190581996,0.00035835545439899584,0.0023193938636237193,0.0001368930564439427,0.0009263152682360177,3.42842981645531e-05,0.0003099593342958773,0.0005395030288155008,0.0038433797431949215,0.00010994999665072237,0.0008341066623582604,4.729625704070188e-05,0.000385760504608567,1.4749493886267057e-05,0.00015674329293275126
hw_pdf4lhc_unc_6,1.0,0.0025452906619593,0.03288658969215632,0.09456742145007027,0.056467890301255964,0.015777145409405377,0.003538318619952453,0.000722768842569615,0.02929391553787018,0.022671095564026272,0.008116542462072883,0.002075606031670153,0.0004475693417634718,0.012538654455484854,0.011644462974582813,0.0051141559325411645,0.0015757206935528877,0.0004162878010776799,0.07708888212185128,0.033162752910393466,0.20580717906028628,0.008198609685839726,0.13534233058590212,0.02409441804537163,0.013274620303705296,0.09568418148097925,0.0785563753966681,0.0029979918183793857,0.015368831541639668,0.0003593032968319852,0.0023234482679486434,0.00013681873182802706,0.000929070681698341,3.470936383142972e-05,0.00030986673037709225,0.0005377490783143225,0.0038439165651256747,0.0001094440896368809,0.0008351359674944641,4.7275709360191135e-05,0.00038580850473825327,1.486365170846209e-05,0.00015698063807836318
hw_pdf4lhc_unc_7,1.0,0.0025553242765067076,0.032959558063165764,0.09454218439146843,0.0564525693162534,0.015770785494408926,0.0035354392504775844,0.0007223771755080551,0.029286188809758966,0.022666937166727998,0.008113130749981753,0.0020722218422271096,0.00044722206935510786,0.012536637340694119,0.011641389035560112,0.005112138405278293,0.0015753100639185977,0.0004160094909388715,0.07726248713699835,0.033155999459443246,0.20575477307221124,0.008196482256405744,0.135294991096601,0.024088202509285284,0.013269986747267024,0.09565417503021205,0.07853626944289742,0.0029979313442619225,0.01536510517374685,0.00035900862583030795,0.002321534385858,0.00013683232632856043,0.0009277069038823031,3.4429208300977214e-05,0.000309931370277853,0.0005370441829665812,0.003842464438083991,0.00010945779841699702,0.0008346360579681195,4.7270525894707874e-05,0.0003857991660898665,1.4843185123273861e-05,0.00015721561341844735
