,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,7067300.0,18862.0,242257.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87655.0,81458.0,36289.0,11083.0,2917.0,568543.0,234180.0,1451758.0,57754.0,956860.0,168026.0,93193.0,664119.0,548785.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_alphaS_up,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_alphaS_dn,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_0,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_1,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_2,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_3,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_4,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_5,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
hw_pdf4lhc_unc_6,7067273.0,18862.0,242250.0,667301.0,399045.0,111383.0,24975.0,5149.0,203015.0,158134.0,56190.0,14664.0,3235.0,87654.0,81458.0,36289.0,11083.0,2917.0,568528.0,234180.0,1451757.0,57754.0,956858.0,168026.0,93193.0,664119.0,548784.0,21247.0,108428.0,2599.0,16259.0,959.0,6596.0,228.0,2235.0,3804.0,27099.0,802.0,5989.0,341.0,2723.0,108.0,1053.0
