,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_nominal,1.0,0.0013696915553420485,0.013122583038029781,0.23276580248021778,0.35103047892333095,0.2497069637656605,0.10373664309921353,0.03769115152317114,0.01057668561503434
hw_alphaS_up,1.0,0.00138050008192849,0.013364421315256817,0.23259115325800866,0.3508351168500463,0.2496794847030658,0.10379070379269976,0.037746829117835966,0.010611790881158161
hw_alphaS_dn,1.0,0.0013605858440023186,0.012909110628900438,0.2328539518652451,0.3511473648004077,0.24974921197603128,0.10373448977603807,0.03767953913737447,0.010565745972000593
hw_pdf4lhc_unc_0,1.0,0.0013648644442192785,0.013051956430665805,0.2328070948708994,0.3510667092284236,0.24970972347157191,0.10373082747138244,0.037686631960149514,0.010582192122688001
hw_pdf4lhc_unc_1,1.0,0.0013641966510522753,0.012972035884739086,0.23303660387249092,0.3512776519663243,0.24968085828030626,0.10358293065381215,0.03757030079643927,0.010515421894835668
hw_pdf4lhc_unc_2,1.0,0.0013666000675201981,0.013040685700813183,0.23285027172143363,0.3511169719251071,0.2497141684608242,0.10370187865562659,0.037654214529092525,0.010555208939582585
hw_pdf4lhc_unc_3,1.0,0.001368574075266486,0.013030604620336627,0.23287430284236724,0.35114512662695263,0.24972834031198318,0.10367809480292325,0.03763359505264967,0.010541361667520907
hw_pdf4lhc_unc_4,1.0,0.0013590334378697185,0.012909101903516932,0.23368200495877078,0.3518206724144576,0.2494577427918685,0.10314792750895617,0.03725598419154432,0.010367532793016006
hw_pdf4lhc_unc_5,1.0,0.0013613456398273978,0.012938544395868883,0.23293221334603903,0.35122341281508823,0.24975119632856424,0.10367074288124535,0.03760599895275569,0.010516545640611129
hw_pdf4lhc_unc_6,1.0,0.0013703378893588753,0.013137771756134325,0.23276433193005705,0.3510275069029334,0.24970236491149722,0.10373527341804052,0.037688045390837296,0.01057436780114131
hw_pdf4lhc_unc_7,1.0,0.0013643106170309071,0.012991632549082126,0.23296134007193992,0.3512348797485141,0.24970735529080154,0.10363240721583336,0.03758999560647114,0.010518078900326917
hw_pdf4lhc_unc_8,1.0,0.0013691633058536968,0.01311201758716721,0.23283900525801618,0.3511009311252302,0.2496951940305207,0.10368455934475293,0.03764617014775969,0.010552959200699312
hw_pdf4lhc_unc_9,1.0,0.001366922580366031,0.013071723469174366,0.23282481792299134,0.35109659469690024,0.24971263197335242,0.10370902807118323,0.0376602426921599,0.01055803859387253
hw_pdf4lhc_unc_10,1.0,0.0013667855805831067,0.013057371122830858,0.2329073120836712,0.3511612602683676,0.24969065377919378,0.10365449734582166,0.03762187859998686,0.01054024121954495
hw_pdf4lhc_unc_11,1.0,0.0013678553733115586,0.013090728065790593,0.23287841233354378,0.3511509775925969,0.24970068622516123,0.10366045107372363,0.037617333471799214,0.010533555864073089
hw_pdf4lhc_unc_12,1.0,0.0013701370443854025,0.013125489797667502,0.23274510974654689,0.3510138171704114,0.2497100630273779,0.10374838973774723,0.03770353304954213,0.01058346042632157
hw_pdf4lhc_unc_13,1.0,0.0013687097241923624,0.013080715910616159,0.23278853150480455,0.35104574416528794,0.24970510000554996,0.10373589049400248,0.037695662937551715,0.010579645257994784
hw_pdf4lhc_unc_14,1.0,0.0013696825060965229,0.01309797661439569,0.23283762629087873,0.3510979774068833,0.2496960009184149,0.10369284454574021,0.037655026934454425,0.010552864783136225
hw_pdf4lhc_unc_15,1.0,0.0013703364523976642,0.013123169019191123,0.2327501421140656,0.35101661777663723,0.24971598937961156,0.10374133127268734,0.037700908481179095,0.0105815055042304
hw_pdf4lhc_unc_16,1.0,0.0013693137724880176,0.013129547432060996,0.23263864728846853,0.35092714598361463,0.2497447162182041,0.1038230067815046,0.037757845249968794,0.010609777273690345
hw_pdf4lhc_unc_17,1.0,0.0013733446881968277,0.013207855558027242,0.23270958465193745,0.3509616634837228,0.2496819507488024,0.10375284788271108,0.037717014272310605,0.010595738714291588
