,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_nominal,0.0006221498942358883,2.299714169007082e-05,7.145231371107018e-05,0.0002996571831549875,0.00036790488673768334,0.0003114351064879079,0.00020045540052088346,0.00012165685619519276,6.56747464774642e-05
hw_alphaS_up,0.0006226937532538267,2.3193112648447322e-05,7.307331513057732e-05,0.00029967535672687596,0.00036793992754137857,0.00031169733514309453,0.0002007218108926941,0.00012199521082590766,6.60110991159785e-05
hw_alphaS_dn,0.0006218796563368923,2.2837974718320693e-05,7.01789887829957e-05,0.00029960919561244117,0.0003678700173667347,0.00031146572255335875,0.0002003289625190143,0.00012149449351571797,6.549902390605323e-05
hw_pdf4lhc_unc_0,0.0006219736783473205,2.292345107603644e-05,7.108177092701625e-05,0.0002996655115266635,0.00036786795525212406,0.0003111962614978875,0.0002004522786346487,0.00012165153479847549,6.575391540216477e-05
hw_pdf4lhc_unc_1,0.00062284744063026,2.292879982274799e-05,7.08286622452581e-05,0.00030011814244629493,0.000368530135649303,0.0003120596376221154,0.00020030764348100401,0.00012137766612074498,6.537765239831253e-05
hw_pdf4lhc_unc_2,0.0006220874248341751,2.293910053942698e-05,7.117134030898821e-05,0.00029975507630088024,0.000367938623818346,0.00031135553687182367,0.00020038979185554772,0.00012155194552778563,6.554426728672656e-05
hw_pdf4lhc_unc_3,0.0006234073106640005,2.303498729792608e-05,7.143704140263878e-05,0.0002999204765735428,0.0003685680009011621,0.0003128740702312442,0.00020051937720515548,0.00012168193584364732,6.560070076071718e-05
hw_pdf4lhc_unc_4,0.0006219946044483419,2.2839248769603864e-05,7.030481400246195e-05,0.000300712922418369,0.00036866895046382576,0.0003110227687600642,0.00019930134178214223,0.00012025943762178878,6.441516281611314e-05
hw_pdf4lhc_unc_5,0.0006223955703625861,2.288879575191259e-05,7.060148328889039e-05,0.0002998436731176186,0.00036822214606034803,0.0003117420230598691,0.00020040194218513125,0.00012146844324566578,6.538648452006682e-05
hw_pdf4lhc_unc_6,0.0006219362962644764,2.2999602713937327e-05,7.156561533625779e-05,0.00029965415709066524,0.0003678109401346871,0.0003111079728035641,0.00020045171686495784,0.00012163365772062133,6.567212358900267e-05
