,ALL,UNKNOWN,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,1.0,0.002525590223700433,0.03965225638781826,0.10398046950511589,0.06001511933942945,0.01664951069203506,0.0038642091409360107,0.0008034216932433293,0.031573821130985544,0.023781869305091824,0.008324990462547982,0.0023118972255046486,0.0005203006294867669,0.013611018511921143,0.012075682410474606,0.005196265763404213,0.001687813945233532,0.00043876100438358407,0.08211995363220971,0.04022156622667092,0.2125397773497568,0.0104527313786369,0.11393753821036892,0.02294767642343491,0.013632434864590239,0.0804797623043764,0.07016904714646861,0.0028177833390352998,0.013799675802214074,0.0003320410781145588,0.0021393830183013725,0.00012410417414900676,0.000920801802395574,3.2876768835675485e-05,0.00029575795769327414,0.0006598490199212102,0.003740756340719985,0.0001390118697140804,0.000854514113516711,6.05134391223953e-05,0.0004061002686415579,1.7479274515726882e-05,0.000145866825283878
hw_alphaS_up,1.0,0.0025229514888945237,0.03953741559083057,0.10379670005369847,0.05979441676116794,0.016533709810243945,0.0038213977562428342,0.0007908513109442656,0.03183480336157388,0.023953810025982153,0.008370085016982085,0.00231857410031814,0.0005201269244889185,0.013713353470998002,0.012155455843624922,0.00522361837327342,0.0016937619009309663,0.00043919888970682017,0.08188435750616686,0.04015514494895904,0.21208828062436255,0.010428268626593332,0.1133518073045496,0.023114572807318007,0.013678166672320587,0.08099152341697458,0.07066253888346952,0.002836701223186091,0.013882894559372447,0.00033405695869684197,0.002150922979294108,0.00012475429611806811,0.0009250617155267565,3.300951349036755e-05,0.0002966892320088814,0.0006616099594241873,0.0037525903239958944,0.00013923803255887551,0.000856681884255137,6.057632016385062e-05,0.00040687351893372404,1.7479218991515883e-05,0.00014596879336738775
hw_alphaS_dn,1.0,0.0025287005844255705,0.039764796391784867,0.10419331896420995,0.06023512669337526,0.01675669634438061,0.003902173178910202,0.0008143614901315771,0.031312851510919906,0.023606703484136862,0.008276093525429452,0.0023028744104890506,0.0005195952166153777,0.013510366016170682,0.011996864232870715,0.005168764533588366,0.001681474515895623,0.0004380513199069179,0.08234218676555824,0.04030139793177756,0.21302165098314052,0.010477527570095593,0.11451736284564555,0.022778243094479376,0.013584472533437406,0.07994571744256963,0.0696713204280189,0.0027989677626015967,0.01371860088201221,0.0003300698944793072,0.0021284787741926684,0.00012348340314137176,0.0009168655975828028,3.277504961554175e-05,0.0002948125580744662,0.0006587521865650957,0.0037281731552334715,0.00013865326245350124,0.000852454363507378,6.04521217735041e-05,0.00040546942042949107,1.7467951358120745e-05,0.00014583160901578758
hw_pdf4lhc_unc_0,1.0,0.0025294412463950427,0.039720968266616766,0.10380226282908417,0.05996600821916081,0.016665211270533612,0.003881491220679817,0.0008135422783915049,0.031580520670894494,0.023801694433484764,0.00834534946258906,0.002324656832685161,0.000527040951668871,0.013618384837773874,0.012089774886587565,0.005206535866775934,0.0016950284799476275,0.0004437889465688944,0.08227024731855714,0.04014870342155404,0.2122999671609243,0.010445675450405978,0.113871280760961,0.022969925227697953,0.013634008711615696,0.08053949206501157,0.07024952407921829,0.0028238106671586495,0.013827214395715257,0.00033312606811352295,0.002143551807225246,0.0001243276685731954,0.0009218514943044447,3.2942267919307004e-05,0.0002958949310935878,0.0006645391484205922,0.0037594004913358865,0.00014040427856019879,0.000858921591814254,6.120389444779134e-05,0.0004081780360577097,1.7683303022303396e-05,0.00014642506045404685
hw_pdf4lhc_unc_1,1.0,0.0025199718353886035,0.03958453744427903,0.10403525370529326,0.059938911961424465,0.016586059237332813,0.0038403090307423137,0.0007987379674475525,0.03166481414317826,0.023814827515270323,0.008317084485274101,0.0023041890016282534,0.0005175796049512144,0.013667493084010288,0.012107610361406588,0.005198518559610689,0.0016850412463741138,0.0004371924797882164,0.08197658856056542,0.04025709815476006,0.21252865969370396,0.010447985398287191,0.1137692105037826,0.022995337895366435,0.013639607441833118,0.080529094548237,0.07032396030523297,0.0028224438399648897,0.013825533934150407,0.0003323557278143472,0.0021442827495014635,0.0001242951522798856,0.0009227336977166403,3.288778080600554e-05,0.00029597796498653957,0.0006590008416696659,0.0037353510380381187,0.00013871970966344212,0.0008523356518834155,6.030002745898256e-05,0.0004053796283185327,1.7376672770358172e-05,0.00014535141780851058
hw_pdf4lhc_unc_2,1.0,0.002526640558954364,0.039641322919453485,0.10399185982442223,0.06001589307908147,0.016647728013928012,0.0038633365742056073,0.0008032324180652609,0.031577820594322126,0.023782748340324494,0.008323625734865798,0.002311394967776199,0.0005198884401492747,0.013612567653497646,0.012075728000880734,0.00519515780085637,0.001687177286612483,0.0004387624015708207,0.08209781838559305,0.04022666356862102,0.2125527917222592,0.010453014986972218,0.11393839641808388,0.022948212175637174,0.01363324288733162,0.0804818776796219,0.07017008687723202,0.002818042900233578,0.013799467872236371,0.0003324661726494828,0.0021389465017865724,0.00012406539149319469,0.0009203670606018858,3.33147687898681e-05,0.0002954065177397028,0.0006595508475635767,0.0037392064271182866,0.00013881720781550638,0.0008535740797874944,6.072352663077521e-05,0.0004056278212440943,1.743100302650117e-05,0.00014600259096468434
hw_pdf4lhc_unc_3,1.0,0.0025075899708463293,0.03940751126581297,0.10433705628449269,0.060200580642920755,0.016691253606998125,0.0038708127569812606,0.0008030927139124611,0.03151641202244064,0.02372435817802861,0.008299449752889876,0.0023030583016859455,0.0005171162872496516,0.01354773197865047,0.012006943404588334,0.005158633463910357,0.0016736552301752018,0.0004341752278923803,0.08160554045544652,0.04036129886156262,0.21317740751561465,0.010477742671697278,0.11429741358220669,0.022880762177758668,0.013638670318984863,0.08041995033112538,0.06987263436619799,0.0027982371292719368,0.013693179795450611,0.00032919972440662303,0.0021204173028349636,0.0001231744198316252,0.0009134071723921073,3.2691788701490066e-05,0.000293218062625504,0.0006567524509283444,0.003705248455057974,0.00013759744657944388,0.0008442036960424054,5.9732593409876443e-05,0.00040095871645428314,1.7275766151128833e-05,0.00014385410979093232
hw_pdf4lhc_unc_4,1.0,0.0025244174415957146,0.03967474294626504,0.10397486598453154,0.0599410171416664,0.016598650814621616,0.0038452638479056405,0.0007983619264993362,0.031664211475627084,0.023813177511374222,0.008315225265177575,0.002302848898232098,0.0005166483218778154,0.013649089022139349,0.012089640135192972,0.005188635870423888,0.0016796904298253322,0.00043491363413373515,0.08216700088393054,0.04022684979661242,0.21246171598285585,0.010446532893284047,0.11378969628074424,0.022993171998283646,0.013642170946109153,0.08054281127058399,0.07028188528925992,0.002817366517676386,0.013794606508815857,0.00033123040398475007,0.0021349541380497037,0.000123557139335382,0.0009185633053230418,3.2716613634928254e-05,0.0002952099339901395,0.0006565758276213661,0.0037219329802941547,0.0001380274977084666,0.0008477546890226122,5.986335715813759e-05,0.0004025445171976315,1.724681541828207e-05,0.00014461374601592672
hw_pdf4lhc_unc_5,1.0,0.0025292812064909354,0.039762634923190265,0.1039565343023519,0.060040848219221454,0.016676418971897394,0.0038785669258900725,0.000809242519751649,0.03151715305493733,0.02375069356153488,0.008323390361335323,0.002315646392805103,0.0005226170167593636,0.013574719192175592,0.01204581702275392,0.005185050384313156,0.0016858806577352895,0.00043917737282504895,0.08234708929222068,0.04020825900132242,0.21253982715606043,0.010454629768427804,0.1140060804233794,0.02290961328867454,0.013626446830395782,0.08043498220706746,0.0700298097726676,0.002811985361994417,0.013765304554086567,0.0003314014327140998,0.002133572024590631,0.00012394014365888306,0.000918258065818993,3.2806749421173946e-05,0.0002949216178234221,0.0006612415611183072,0.003736668583981241,0.00013912672599065631,0.0008523861637589648,6.042020361722523e-05,0.00040479854129356406,1.7449278225624677e-05,0.00014530916572141843
hw_pdf4lhc_unc_6,1.0,0.0025218043568650283,0.03960751897579082,0.10401971263910507,0.06003612064204355,0.016651914098263245,0.0038642476348093517,0.0008027232183581118,0.03157086818735759,0.02377908617112788,0.008322277693000438,0.0023108517844324444,0.0005197699012597087,0.013607984916118601,0.012071293172318935,0.005195444746572447,0.0016869611365537584,0.0004381003806449415,0.08203579368766382,0.04023709467900558,0.21261094511375314,0.010455460132730595,0.11397001053069064,0.02294383096953411,0.013633340382215859,0.08047852642815968,0.07015463332999464,0.0028168522423524913,0.013795816862741504,0.0003320527636129428,0.002138237598176459,0.0001239569562268331,0.0009199144338757876,3.287730063709172e-05,0.0002955983998019477,0.0006585822053258311,0.003738455013365616,0.00013883582148596112,0.0008537261498744374,6.034011191459865e-05,0.00040549047542987727,1.740987591398842e-05,0.0001455388808946228
