,ALL,UNKNOWN,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.000585901819611083,3.0340637012337367e-05,0.00012095732551423689,0.00018782217176317145,0.00014297735696692338,7.589634108389906e-05,3.689825520986188e-05,1.6874969870147665e-05,0.00010225797696002501,8.956134095033253e-05,5.293747086366179e-05,2.8021660621339328e-05,1.3341977740334178e-05,6.756117318518447e-05,6.347676532739133e-05,4.186413481251605e-05,2.3791905092877842e-05,1.2283069955714286e-05,0.00017540823148288586,0.00011680320056469784,0.00026856785523606165,5.962165993328341e-05,0.00019904299724367977,8.757781060256148e-05,6.797153407804324e-05,0.0001640379389217407,0.00015307157840935596,3.084579893645346e-05,6.788276929583607e-05,1.0729154219528112e-05,2.6928018596678946e-05,6.681872557066785e-06,1.7501055054360285e-05,3.386789357440108e-06,1.0165684989264575e-05,1.7145766348283612e-05,3.531304719620176e-05,6.6447757039740235e-06,1.7101064123078525e-05,4.470978847226671e-06,1.1633426283231924e-05,2.494145140268659e-06,7.07530537147697e-06
hw_alphaS_up,0.0005857003348005646,3.029517608849456e-05,0.0001204906017932373,0.0001874787614394802,0.00014246307452351706,7.533307191245245e-05,3.6490824318381516e-05,1.6596719614712886e-05,0.00010310683377295486,9.020903583452871e-05,5.322958714393422e-05,2.809789111242753e-05,1.3332105846015521e-05,6.806975970846176e-05,6.390109876785222e-05,4.2079553822524836e-05,2.3873870934489238e-05,1.2290941606182817e-05,0.00017461465019694597,0.00011660078064319623,0.00026799553555857143,5.948069378582714e-05,0.00019781531320126923,8.821791506377699e-05,6.82100645687477e-05,0.00016509615601087947,0.00015416681807393372,3.105511557117569e-05,6.8287862638692e-05,1.0799201852455694e-05,2.706674792673904e-05,6.7133768890059185e-06,1.7579671658931762e-05,3.404044604015286e-06,1.0194553030673276e-05,1.783258715813693e-05,3.5419994785449654e-05,6.658841494251355e-06,1.714323824221639e-05,4.4743370713895504e-06,1.1650143268823182e-05,2.4957849656150936e-06,7.0832254982600046e-06
hw_alphaS_dn,0.000586471605151972,3.0406471324159744e-05,0.00012157915697112803,0.00018836156346398918,0.00014358031374741762,7.645708834984247e-05,3.727512395716408e-05,1.7121508607884305e-05,0.00010142472979274166,8.892600991240988e-05,5.262799917813899e-05,2.791906393609807e-05,1.3328982435583305e-05,6.706914392114054e-05,6.306591953515793e-05,4.165150675380798e-05,2.3706141288347683e-05,1.226772427157706e-05,0.00017628100136062413,0.00011713819734394854,0.00026941632585893524,5.980159134628343e-05,0.00020029198969875279,8.694100862158827e-05,6.774319076762916e-05,0.00016296269693104687,0.00015199700291874182,3.0641136840424036e-05,6.749513061996392e-05,1.0660099695237678e-05,2.6799702726039094e-05,6.652355394782718e-06,1.7428915667305244e-05,3.372053252947553e-06,1.0139671358304238e-05,1.7842788957966364e-05,3.519947513444397e-05,6.626216688981178e-06,1.7064149521066438e-05,4.465975434913282e-06,1.1621583936164358e-05,2.493328996586477e-06,7.0739077867900355e-06
hw_pdf4lhc_unc_0,0.0005854211609310048,3.0374692663373203e-05,0.00012089834264490456,0.00018750225052923975,0.00014283394905518612,7.588966765375026e-05,3.7036379522279817e-05,1.706092818720572e-05,0.00010224430473530226,8.949939398698486e-05,5.303859716921226e-05,2.8148030469947297e-05,1.3497615526905393e-05,6.755976336252526e-05,6.351693955881445e-05,4.1922460242643e-05,2.387761369580843e-05,1.2416824629786601e-05,0.00017505473469069132,0.00011660125756802808,0.0002682444183883511,5.956039813253096e-05,0.00019868245275731782,8.76120970208589e-05,6.795599193985158e-05,0.00016409652959613693,0.00015313745115585667,3.089808208666487e-05,6.797444354404959e-05,1.0756378369657739e-05,2.6948453091200674e-05,6.698117403331767e-06,1.7504258972887785e-05,3.397083662474858e-06,1.0162916234169286e-05,1.6780455139677735e-05,3.546732560104278e-05,6.7092658527092475e-06,1.717644947720589e-05,4.512556170906364e-06,1.1675191891170284e-05,2.515078519481682e-06,7.10151343220795e-06
hw_pdf4lhc_unc_1,0.0005875727853919096,3.0360370380383634e-05,0.00012130594985545771,0.00018830141286980802,0.00014302751859059063,7.582928216057691e-05,3.6725366261544685e-05,1.681821491131778e-05,0.00010265426769342912,8.991649640356551e-05,5.293432424329432e-05,2.796276966404281e-05,1.3291881144458635e-05,6.79319378305717e-05,6.369805282680234e-05,4.1921961907385186e-05,2.377340209486136e-05,1.2249562828742797e-05,0.0001764231680743824,0.00011712489496235296,0.0002690292565841036,5.9706069997188175e-05,0.0002000967614767605,8.783365278343051e-05,6.808630246449636e-05,0.00016432389413867328,0.00015360157713027226,3.093005915482273e-05,6.806117416629057e-05,1.0746110305096471e-05,2.7033943647181093e-05,6.6948990860155646e-06,1.754429791300261e-05,3.387993478162075e-06,1.0175209564961135e-05,1.7761818232264392e-05,3.52930522874252e-05,6.640125388074219e-06,1.707212425747186e-05,4.4660334743552644e-06,1.1624251258488097e-05,2.4842078551967353e-06,7.056857758856798e-06
hw_pdf4lhc_unc_2,0.0005857325222588276,3.0416104755167036e-05,0.00012089979432761918,0.00018784621499617432,0.00014298897499444207,7.586221769014765e-05,3.6897616882955046e-05,1.6865982698848834e-05,0.00010227039623220051,8.9519853659031e-05,5.2933158749093186e-05,2.802439547729047e-05,1.3336557932886886e-05,6.756735533702018e-05,6.347524435332434e-05,4.186105471714097e-05,2.378566761987669e-05,1.2314348995752637e-05,0.00017505631068959752,0.00011681971475477607,0.0002686028748496119,5.9624846007405695e-05,0.00019884519500792957,8.75775972639737e-05,6.79813518228273e-05,0.00016404098112158115,0.000153054087518875,3.0855579933016026e-05,6.788237145265032e-05,1.0777922762459925e-05,2.691798909277588e-05,6.6816604749553425e-06,1.7498459745615016e-05,3.3837626122932106e-06,1.0157459342189734e-05,1.6899533186436045e-05,3.530030089639701e-05,6.644639120456143e-06,1.7089790797038545e-05,4.464305467930045e-06,1.1624517948371663e-05,2.48693597213492e-06,7.066365830143208e-06
hw_pdf4lhc_unc_3,0.0005884189552370108,3.0295244948736364e-05,0.00012180441381180577,0.0001885091771544315,0.00014348224409262077,7.645425904108785e-05,3.705853743338843e-05,1.6961100275203274e-05,0.00010214569405119859,8.985213906103434e-05,5.2832148529342564e-05,2.7986283854520434e-05,1.3312530471274114e-05,6.733506822032067e-05,6.319885047708172e-05,4.1634560328001196e-05,2.3649307418171096e-05,1.2194527945145352e-05,0.0001780372165629962,0.0001172321265960723,0.0002694972230229508,5.979021509131537e-05,0.00020139289787150767,8.742209157007054e-05,6.804813319880235e-05,0.0001640621051221988,0.00015273370101143605,3.0675521877982615e-05,6.745186116014169e-05,1.0651928434773186e-05,2.6804197882478015e-05,6.648517025349068e-06,1.737667897446277e-05,3.3698596301888824e-06,1.0097633688650675e-05,1.8848704128272944e-05,3.506373618240698e-05,6.5916326510213085e-06,1.6931426927526173e-05,4.438881336052071e-06,1.1532140445078728e-05,2.468509569818092e-06,6.998259722174229e-06
hw_pdf4lhc_unc_4,0.000586059069650995,3.0376753309919433e-05,0.0001211198425612461,0.0001878670570961333,0.00014283652466240906,7.5674253630337e-05,3.672705995758778e-05,1.6770872767807126e-05,0.00010255803437757395,8.965039161899239e-05,5.288161174129068e-05,2.7914051847533585e-05,1.3252565367520127e-05,6.77567228896884e-05,6.35543807358862e-05,4.181388077945578e-05,2.368333841018316e-05,1.2183732495595341e-05,0.00017558244560860313,0.00011687038451614238,0.0002685510594417795,5.9599545177627634e-05,0.00019890202053560516,8.775539010883489e-05,6.802424410579836e-05,0.0001641703626469614,0.00015331934747421296,3.084419924266596e-05,6.786538297639977e-05,1.0709247533079634e-05,2.686910750883354e-05,6.653955502987128e-06,1.7461509822038506e-05,3.366210762624476e-06,1.0154053384995651e-05,1.6846480034046338e-05,3.5147334915363354e-05,6.599914326593972e-06,1.6970628592862503e-05,4.427686840516483e-06,1.1540670142434911e-05,2.4583241220062544e-06,7.025096247430176e-06
hw_pdf4lhc_unc_5,0.0005860753207312772,3.0426058868480718e-05,0.00012153912921297448,0.00018774948987404204,0.00014299196157201318,7.603530220421467e-05,3.702819651899707e-05,1.6998387622005957e-05,0.000102043499157967,8.946285145748716e-05,5.290270647899233e-05,2.806407367327728e-05,1.3406027532425245e-05,6.736340665430448e-05,6.329839186580124e-05,4.1767406754722455e-05,2.3763358899104977e-05,1.2300650263731723e-05,0.0001764263475436777,0.000116742651583612,0.0002685096479072182,5.961538609906658e-05,0.00019924336631891256,8.7402732014905e-05,6.791466412525827e-05,0.0001638953373700698,0.000152730094196463,3.0773455835542806e-05,6.768811843017861e-05,1.0700827207876656e-05,2.685656147574903e-05,6.6743163140303215e-06,1.74450854043859e-05,3.3769583839679786e-06,1.0132903281230996e-05,1.732173746124717e-05,3.527095249176133e-05,6.65248894724678e-06,1.705401093715412e-05,4.46873696506297e-06,1.1600135882570115e-05,2.485342316446481e-06,7.051189150845272e-06
hw_pdf4lhc_unc_6,0.0005854702122821511,3.036422421018937e-05,0.00012055044675347081,0.00018791174291943254,0.0001430386338972634,7.582539631297281e-05,3.687930905179899e-05,1.6856497808434746e-05,0.0001022539239228049,8.944225178435781e-05,5.29215128546328e-05,2.79965544670276e-05,1.3326326588582832e-05,6.754583959043876e-05,6.3453238480653e-05,4.185121189438614e-05,2.3778340451740044e-05,1.2263145312697325e-05,0.00017457855726825313,0.00011685422412741956,0.0002686621760502189,5.9644514072671164e-05,0.0001986703861533529,8.755880035083513e-05,6.798575205658054e-05,0.00016403591464577433,0.00015304740810201853,3.0829789761744106e-05,6.785798171175202e-05,1.0755412238758e-05,2.6897461068614864e-05,6.671135042122224e-06,1.7488975343440265e-05,3.3856414683429585e-06,1.0159748516255278e-05,1.6487373778378904e-05,3.528488327324994e-05,6.6396856024834316e-06,1.70899946152484e-05,4.46030776175683e-06,1.1615659327964792e-05,2.4850108894195036e-06,7.0585606561622365e-06
