,ALL,UNKNOWN,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,1.0,2.515197613099362e-06,0.07963122629983962,0.0021206719327977247,0.0005910809479177986,0.00010795362131206798,1.815868838355677e-05,0.007337111489054027,0.0015996711272999455,0.00022712003932230855,3.275537365652981e-05,0.1315864623302059,0.4204419293523407,0.14123669390960242,0.09404965981788306,0.015165805966714596,0.013545987505978699,0.019551993019162918,0.006906633576533763,0.013181855087836284,0.019884155416643713,0.012850881078836144,0.0051188184599896495,0.008524030239531188,0.0012266367059248409,0.0021083206745979833,0.0006975477506131846,0.0012238459179880468,0.00037623264318515346,0.0006542458292349845
hw_alphaS_up,1.0,2.517510385777866e-06,0.08028638217073261,0.002136259243624248,0.0005922842151101596,0.00010786189796183492,1.8069831554251167e-05,0.007397407122858214,0.001603796447839971,0.00022676943701394517,3.266212731034301e-05,0.12853295232170492,0.4194201766884805,0.14222699751215795,0.09507323754734305,0.015359981003537054,0.013648941741109017,0.019772217752401705,0.006992365710085976,0.013290989467400578,0.02010774465668881,0.013004737877955676,0.005175755050092413,0.008622203725163985,0.0012416095542778472,0.002134225443164998,0.0007064143968175968,0.0012399113589632298,0.00038167404238254515,0.0006638541458808461
hw_alphaS_dn,1.0,2.4961040917243434e-06,0.07906983461963514,0.0020819228701810123,0.0005762477507915279,0.00010460456738979554,1.7526134888394868e-05,0.007211766204225895,0.0015609361909296761,0.00022013528893657453,3.157250698690444e-05,0.1345426005957049,0.4213460607114511,0.14030908462852165,0.0931302910197325,0.014985605868482264,0.013451542754746842,0.01935547159736059,0.006823321331788083,0.013081870407036351,0.01968436654347934,0.012699971537518359,0.005066984338684198,0.008431954255366846,0.0012132516442900816,0.0020842633777600574,0.0006896879907793685,0.0012090615383189673,0.0003716319680533409,0.0006459356528684975
hw_pdf4lhc_unc_0,1.0,2.515197613099362e-06,0.07963122629983962,0.0021206719327977247,0.0005910809479177986,0.00010795362131206798,1.815868838355677e-05,0.007337111489054027,0.0015996711272999455,0.00022712003932230855,3.275537365652981e-05,0.1315864623302059,0.4204419293523407,0.14123669390960242,0.09404965981788306,0.015165805966714596,0.013545987505978699,0.019551993019162918,0.006906633576533763,0.013181855087836284,0.019884155416643713,0.012850881078836144,0.0051188184599896495,0.008524030239531188,0.0012266367059248409,0.0021083206745979833,0.0006975477506131846,0.0012238459179880468,0.00037623264318515346,0.0006542458292349845
hw_pdf4lhc_unc_1,1.0,2.516303496447801e-06,0.07929259944798722,0.0021144092927064817,0.0005891231356422265,0.0001076731533737698,1.8130395430830615e-05,0.007315974690061082,0.0015948301334870576,0.00022675660336498059,3.261378567446604e-05,0.13190708825716663,0.42079215563494243,0.14120780130546415,0.09395091083440077,0.01513309851221405,0.013541886953866576,0.019526135375124622,0.00689088181538768,0.013175613688661004,0.019858416001861428,0.01282262131084478,0.0051112715924496515,0.00851029445073758,0.0012247892071548727,0.002104554411744749,0.0006964165388154556,0.0012218399795432323,0.0003756975714174001,0.0006538996169782616
hw_pdf4lhc_unc_2,1.0,2.5113082677604044e-06,0.07841220143350074,0.0021085946083608865,0.000586271625600282,0.0001068059471240314,1.790675796779857e-05,0.007292310005466453,0.0015855307598441526,0.00022459096441332764,3.2144668373046954e-05,0.13204735145968838,0.42133153356347114,0.14139643577991268,0.09401371130570632,0.015122825754061191,0.013557298151823174,0.019534073012672258,0.006884407112850066,0.013188416016758717,0.019859820750872142,0.012806728491350087,0.005112882630189683,0.008506244390256082,0.0012246253696040377,0.002102013879158591,0.0006960090317421893,0.0012198424500428065,0.0003754615128541738,0.0006514512580677639
hw_pdf4lhc_unc_3,1.0,2.51516496179955e-06,0.07939999875586334,0.002116547508946134,0.0005893461185768079,0.00010738785203331098,1.8013789126590744e-05,0.007322690260167142,0.0015954180391649134,0.000226446446697292,3.2388609661615295e-05,0.13174337828272706,0.42066093696894546,0.14124230790474002,0.09400962942384829,0.01514794765681842,0.013546868688530852,0.01954185269030275,0.006899057958983591,0.013181440522986811,0.01987290153271684,0.012836068563334527,0.005114331972122208,0.00851600583432659,0.0012249884226280636,0.0021056475191157417,0.0006965216649902981,0.0012220502942738366,0.0003752027903224204,0.0006521087630872644
hw_pdf4lhc_unc_4,1.0,2.5249351485614378e-06,0.08038743760285813,0.002126206181047551,0.0005934230192055796,0.00010858839290453506,1.8310959842711462e-05,0.007359537585795909,0.0016071922483938497,0.00022860974505373003,3.309918116127179e-05,0.13134774678679403,0.41994019784817793,0.1411241624569531,0.09404579675893047,0.01518209403259048,0.013535679050882635,0.019555700566371594,0.006915251871473142,0.0131766636819804,0.019894594960741207,0.012872354983613714,0.005119630823009218,0.008530944203368683,0.001227162220414453,0.0021108606799842113,0.0006982381430419469,0.0012258525471649205,0.0003765225424639677,0.0006556159906320786
hw_pdf4lhc_unc_5,1.0,2.5121997582381726e-06,0.07910703994477994,0.0021133633321356307,0.0005878227191832189,0.00010698981826854093,1.7956968010377553e-05,0.007312444007670062,0.001590661721837716,0.00022518699544966142,3.2225911459074906e-05,0.13181882215868018,0.42086889770872554,0.1412888733845398,0.09401371079497294,0.015141486761440377,0.013551029074908039,0.019542125603276134,0.006895279693136563,0.013184316524782816,0.019870434910251315,0.012828541228470089,0.005114545816908903,0.008513523283557924,0.001224848642737285,0.002104339487374492,0.0006961379934706605,0.0012206070192985823,0.0003750377102977257,0.0006512385846181842
hw_pdf4lhc_unc_6,1.0,2.5200045534710315e-06,0.07966441549315798,0.002118879171920406,0.0005909790181325862,0.00010808258419049279,1.8174472094375866e-05,0.007333373489915992,0.001599982170799168,0.00022735414400374375,3.274165046563929e-05,0.13169691496768451,0.4204933550001895,0.1411774554905034,0.09399429618489547,0.01515308316691293,0.01354022737910621,0.019537129033925293,0.006900552039304085,0.013177626915346952,0.019874572466934328,0.012843103242020914,0.005114073497315228,0.008518714580754053,0.0012257354127810734,0.0021066141855993147,0.0006965781401801946,0.0012232152309381002,0.00037617334412934334,0.0006540775222452108
hw_pdf4lhc_unc_7,1.0,2.5129488377443634e-06,0.079046586595345,0.002113652514380242,0.0005881037841020457,0.00010715361447423423,1.7980523993452585e-05,0.007313162395246956,0.0015912002761712249,0.0002254134973056185,3.233395395228445e-05,0.13183000580315546,0.42089421043880865,0.14129744058941568,0.0940196863923712,0.015142834657782307,0.013551373595649396,0.019542440900921398,0.006895390239125218,0.013184397753487351,0.019870885281001758,0.012828690309749735,0.005115289682957751,0.008514575798398417,0.00122536431299458,0.0021046287280905443,0.0006963510271873751,0.0012210970438047105,0.00037553170909608493,0.0006517056321936453
hw_pdf4lhc_unc_8,1.0,2.5144741168328824e-06,0.08139852403849321,0.0021453189759976436,0.0006009481792593811,0.0001104131401565009,1.8649795529303488e-05,0.007419737014489973,0.0016258173348679358,0.00023220805007146203,3.3669587049619466e-05,0.13065445702180023,0.4188804117738944,0.14117448719881878,0.09424952141941526,0.015266046134396229,0.013539200085022936,0.01960348874274403,0.006952897367403231,0.01317921863129202,0.019939901622010956,0.012933231095207737,0.005138918136834428,0.008565274094506189,0.0012341327663944438,0.0021228270860328357,0.0007027469517559842,0.0012346203138821205,0.0003797855736843845,0.0006610333948720329
hw_pdf4lhc_unc_9,1.0,2.5133457706440952e-06,0.07944990020979317,0.002120865632176424,0.0005917479915378903,0.0001081760784366376,1.8246214104147624e-05,0.007337277889409371,0.0016012393006785183,0.0002276073854146109,3.290655546483373e-05,0.1316920523200829,0.4205430681896104,0.141237122008313,0.09403479385295123,0.01516278880957907,0.013546537420808845,0.01954685071312969,0.006904982505368207,0.013181409552482952,0.019880422439395952,0.012846341999187966,0.005118879915865066,0.008523521280836504,0.0012271326093280597,0.0021084992214093798,0.0006978836588098611,0.0012242483288750219,0.0003771270470881672,0.0006558575240914599
hw_pdf4lhc_unc_10,1.0,2.5101803330800283e-06,0.0807048965499452,0.002120186934953127,0.0005920036268921001,0.00010845311074606225,1.8323873827828276e-05,0.007331711393132379,0.0016012318745770664,0.0002279535289629176,3.309854975594949e-05,0.13165334896153158,0.4199467736849834,0.14100853649279482,0.09386172151535116,0.015143347302590548,0.013520785453536622,0.019510683796645684,0.006895402726113618,0.013150964464688684,0.01983185326259206,0.012822157450451172,0.005113259561633259,0.008510065880529246,0.001226614457995359,0.0021071938215589674,0.0006982804891396044,0.0012247883877148156,0.00037741047288297145,0.000656442194140778
