,ALL,UNKNOWN,GG2HLL_FWDH,GG2HLL_PTV_0_75_0J,GG2HLL_PTV_75_150_0J,GG2HLL_PTV_150_250_0J,GG2HLL_PTV_250_400_0J,GG2HLL_PTV_GT400_0J,GG2HLL_PTV_0_75_1J,GG2HLL_PTV_75_150_1J,GG2HLL_PTV_150_250_1J,GG2HLL_PTV_250_400_1J,GG2HLL_PTV_GT400_1J,GG2HLL_PTV_0_75_GE2J,GG2HLL_PTV_75_150_GE2J,GG2HLL_PTV_150_250_GE2J,GG2HLL_PTV_250_400_GE2J,GG2HLL_PTV_GT400_GE2J,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,1.0,2.7465328277940535e-05,0.010433655064500991,0.01942358289312179,0.05150739188269581,0.02389471218802605,0.0022284384104149383,0.00010736446508649481,0.01831282447278398,0.04642852055204007,0.031098453356191276,0.005424417964785807,0.00046703269997825985,0.014206260636149376,0.034283921306286956,0.02974293269237422,0.0098167770871906,0.0014184949154100878,0.026076611875225097,0.003795188338539794,0.0012514875251038802,0.0002537775114122257,2.247163222740589e-05,0.08439829143618092,0.019150296077219277,0.00226844999747721,0.0002201626477998212,9.987392101069285e-05,0.002371375483914051,0.015930522944242395,0.03776219015621551,0.023450754101711182,0.013288009750605703,0.04321086938681858,0.053415649120173166,0.031517706650438834,0.10233492280421434,0.14974092838624206,0.008099829221954244,0.06110505624185774,0.0014793172811417362,0.012029976958006826,0.0006199423243230693,0.005250535879790486,0.00021472893017298963,0.0018188275006661187
hw_alphaS_up,1.0,2.7340409389865333e-05,0.01064351566217509,0.019550914275673043,0.05151333337916823,0.02375727423771961,0.00220330531558507,0.00010543814476933167,0.018412651196841153,0.046436088149527176,0.03096297341801581,0.005382844904429497,0.00046203401736286055,0.01425924045014877,0.03428584685896011,0.02964743579666421,0.009758614899601274,0.0014056303454331033,0.026603219440661442,0.0037715574405013325,0.001245628177889965,0.00025071562052854607,2.2590180381136384e-05,0.08391553260411845,0.01900806498822425,0.0022480282497301324,0.00021768433901347978,0.0001010293440501619,0.0023945722247807628,0.016052078234210183,0.03788893161051113,0.023392547723592512,0.01337426082440684,0.043299011509626235,0.053254455438413416,0.0316895925115117,0.10249955401155665,0.14934365096496754,0.008108468441299817,0.06108176421463224,0.0014808494679616445,0.012027191043777401,0.0006207215016362849,0.005252341227493637,0.00021591411174084866,0.0018255630913180559
hw_alphaS_dn,1.0,2.733616597723121e-05,0.010333124531887285,0.01957860623604493,0.05158429322556982,0.023769528575068876,0.0021967126850147103,0.00010496587205948182,0.018434274058755876,0.04650552486138479,0.030989587429385887,0.005377104838829821,0.0004603251423032942,0.014279207257478123,0.03433919912316782,0.029675327119240036,0.009758562270011492,0.0014034179326825721,0.025827162189687634,0.003771955190507383,0.0012433094195834855,0.00024931593446020107,2.2004424479287062e-05,0.08393574884985235,0.018988023557833952,0.0022410812860745215,0.00021635990126263902,0.00010109648734335688,0.002398099248861989,0.016073921765571885,0.037944252473520595,0.023421226424285266,0.013395765664749032,0.04337236113058967,0.05331297866428096,0.0317449659954283,0.10268560410790782,0.14956037535005298,0.008117584069953944,0.061161685047465386,0.001480458708393382,0.012026798603307985,0.000619052142798858,0.005243914091580374,0.00021418871131870351,0.0018136132339860252
hw_pdf4lhc_unc_0,1.0,2.7465328277940535e-05,0.010433655064500991,0.01942358289312179,0.05150739188269581,0.02389471218802605,0.0022284384104149383,0.00010736446508649481,0.01831282447278398,0.04642852055204007,0.031098453356191276,0.005424417964785807,0.00046703269997825985,0.014206260636149376,0.034283921306286956,0.02974293269237422,0.0098167770871906,0.0014184949154100878,0.026076611875225097,0.003795188338539794,0.0012514875251038802,0.0002537775114122257,2.247163222740589e-05,0.08439829143618092,0.019150296077219277,0.00226844999747721,0.0002201626477998212,9.987392101069285e-05,0.002371375483914051,0.015930522944242395,0.03776219015621551,0.023450754101711182,0.013288009750605703,0.04321086938681858,0.053415649120173166,0.031517706650438834,0.10233492280421434,0.14974092838624206,0.008099829221954244,0.06110505624185774,0.0014793172811417362,0.012029976958006826,0.0006199423243230693,0.005250535879790486,0.00021472893017298963,0.0018188275006661187
hw_pdf4lhc_unc_1,1.0,2.741916456945441e-05,0.010509490529648294,0.019428665717362695,0.05149639042083957,0.02387912360473872,0.002227098174061272,0.00010714145396973248,0.01831619162699665,0.046418025734471596,0.031081784836597955,0.005420540984180722,0.00046660230621580563,0.014206630417291158,0.034276259133687,0.029729468966020765,0.009810256986087382,0.001416650039350782,0.02627498375729159,0.0037919522751052553,0.001251293434032266,0.0002533178365559434,2.2602164022558405e-05,0.08434067243301661,0.01913526760040446,0.00226629213483312,0.00022010953222762977,9.987527675015184e-05,0.0023721608336611526,0.01593633543408488,0.03776246117364111,0.02344005445811384,0.013291426483386734,0.04320707843131218,0.05339249072908319,0.03152434099546284,0.10232346700612145,0.14967358465133718,0.008098305405330306,0.061093946602568464,0.0014794958586281022,0.012027866704716205,0.0006198746899220396,0.005247309539709546,0.00021470006358553708,0.0018209943990060808
hw_pdf4lhc_unc_2,1.0,2.738320803811452e-05,0.01031010019975452,0.01946349523805083,0.05155260332361437,0.023868679970296573,0.0022177966277593993,0.00010639060873412905,0.018344292690043087,0.04647198503238929,0.03108596521090149,0.0054103565184444044,0.00046437784128982196,0.014228034643064673,0.034315936928570136,0.029737802433984,0.009801796654949882,0.001412892320868151,0.02577058899242673,0.0037887349289755547,0.0012477696023006986,0.0002517501774630173,2.2293878377990157e-05,0.08428954010017908,0.019098507226584474,0.0022577384773238354,0.00021863270664401258,0.00010006004243718189,0.0023772273567166336,0.015965832258556734,0.03782005062624361,0.02345469219154291,0.013317095671218939,0.04327340555330176,0.053415087626934775,0.03158679250976086,0.10248667448739358,0.1497896511748383,0.00810658272809101,0.06114941851881955,0.0014793155545195582,0.012026358769257067,0.0006187059288701184,0.0052413842381853004,0.0002134973825630913,0.0018127218397207487
hw_pdf4lhc_unc_3,1.0,2.7459100893946368e-05,0.010343789948720459,0.019438326806896212,0.05153061307584892,0.023892689376632855,0.0022250274607026935,0.00010709265203347945,0.018324206713677984,0.04645113628432875,0.031100074807518877,0.005420390505243402,0.00046617611745103355,0.014214908162704222,0.03430145655007841,0.029747554659221315,0.009813961054669706,0.0014170979744511957,0.025854864209435013,0.0037941237621034775,0.0012505680019192077,0.00025306437956609405,2.2263964977616063e-05,0.08438123721632397,0.01913662686228652,0.0022650421297782633,0.00021957477829651756,9.99504556242071e-05,0.0023735766396242187,0.01594318589061674,0.037785292022732515,0.02345750438453026,0.013298848406215218,0.04323832383336865,0.05342761826139853,0.03154234474075399,0.1024014553309322,0.14979239249979073,0.008103025306500797,0.06113071311667805,0.001479349361669402,0.012030209454070469,0.0006194824122308781,0.005247702041972707,0.00021425939000473056,0.0018154398955255572
hw_pdf4lhc_unc_4,1.0,2.751186552305176e-05,0.010526523639967781,0.019399339286143766,0.05147699362127525,0.023908393632588777,0.0022349271143081912,0.00010795308013735331,0.01829355079320773,0.046398993165055455,0.0311031240922061,0.005432567743578164,0.00046865041471755444,0.014192475966714219,0.03426197900783357,0.02974346182018137,0.009825002110093486,0.0014217511695653114,0.026307709745739264,0.003798700809356888,0.0012538223941430196,0.0002550034064520415,2.2597569391084792e-05,0.08445636468179946,0.019180417329113707,0.002274894642018573,0.00022112847199385536,9.976151558711326e-05,0.002367871611584434,0.015909298393425055,0.037725793035893775,0.023446415432286007,0.013270205098858312,0.04317072090956942,0.053411955658984656,0.03147474902665395,0.1022358665905898,0.1496971999087963,0.008095264166614474,0.06107413071381511,0.0014793557072577523,0.012031978572262535,0.0006207479817326577,0.005256137053021302,0.00021554821155204365,0.001823162838410286
hw_pdf4lhc_unc_5,1.0,2.7454960497381712e-05,0.010219738828932535,0.019455040579681955,0.05156048219534896,0.023893815756289502,0.0022213520881332843,0.0001068007804454647,0.01833665409180438,0.04648065121050716,0.031103918887391068,0.0054168748495316875,0.00046528560960335804,0.014224299356912636,0.034323432984371516,0.029755614601678915,0.009811949935810095,0.0014158123124885377,0.025559050379115208,0.0037936171983654916,0.0012495477530397642,0.00025232522799949225,2.2062340315028013e-05,0.08437039150938598,0.019123997124962298,0.0022616797142841942,0.000218935216169525,0.00010004085739473004,0.002376053242932199,0.015956647542088316,0.03781204603889663,0.02346792944445108,0.01331153224574128,0.04327193455945686,0.0534457743861554,0.031569930118954675,0.10248277606548714,0.14986669422692536,0.008106158573677854,0.061162306980931475,0.0014794912259074107,0.012031746826971421,0.0006190513901828421,0.00524382380839716,0.00021377576887692876,0.0018115012035058028
hw_pdf4lhc_unc_6,1.0,2.7447204613915895e-05,0.010536521665379056,0.01941591058974536,0.051483801828654974,0.023889048284680414,0.0022305864180677064,0.00010747358054402577,0.01830637073276834,0.04640602580729252,0.03108799086767723,0.005425315246210076,0.0004674765158173005,0.014200134477187333,0.03426774935627146,0.02973297287781504,0.009815788449411127,0.0014186526590419441,0.02634017385737469,0.0037943753034637255,0.0012525018753226406,0.0002539839621194219,2.263393490220863e-05,0.08438195575633094,0.01915338878284713,0.0022698548175477287,0.00022059083132070525,9.982342307249594e-05,0.002370276504438864,0.015925037352877817,0.03774498716469165,0.023440143009696136,0.01328223090804177,0.04318845575656077,0.053395206545578604,0.03150305405495455,0.10227926382461064,0.14966704339490283,0.008096523494101284,0.06108228315080815,0.0014794936187977933,0.01202914518448123,0.0006202554410294343,0.005250515508662459,0.00021504984220215495,0.0018224861380843464
