,ALL,UNKNOWN,GG2HLL_FWDH,GG2HLL_PTV_0_75_0J,GG2HLL_PTV_75_150_0J,GG2HLL_PTV_150_250_0J,GG2HLL_PTV_250_400_0J,GG2HLL_PTV_GT400_0J,GG2HLL_PTV_0_75_1J,GG2HLL_PTV_75_150_1J,GG2HLL_PTV_150_250_1J,GG2HLL_PTV_250_400_1J,GG2HLL_PTV_GT400_1J,GG2HLL_PTV_0_75_GE2J,GG2HLL_PTV_75_150_GE2J,GG2HLL_PTV_150_250_GE2J,GG2HLL_PTV_250_400_GE2J,GG2HLL_PTV_GT400_GE2J,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_alphaS_up,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_alphaS_dn,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_0,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_1,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_2,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_3,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_4,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_5,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
hw_pdf4lhc_unc_6,400000.0,11.0,4153.0,7770.0,20608.0,9561.0,891.0,43.0,7328.0,18574.0,12446.0,2170.0,187.0,5682.0,13715.0,11898.0,3926.0,567.0,10361.0,1518.0,501.0,101.0,9.0,33773.0,7659.0,907.0,88.0,40.0,949.0,6374.0,15113.0,9378.0,5317.0,17288.0,21372.0,12609.0,40947.0,59917.0,3242.0,24443.0,592.0,4811.0,247.0,2101.0,86.0,727.0
