,ALL,UNKNOWN,GG2HLL_FWDH,GG2HLL_PTV_0_75_0J,GG2HLL_PTV_75_150_0J,GG2HLL_PTV_150_250_0J,GG2HLL_PTV_250_400_0J,GG2HLL_PTV_GT400_0J,GG2HLL_PTV_0_75_1J,GG2HLL_PTV_75_150_1J,GG2HLL_PTV_150_250_1J,GG2HLL_PTV_250_400_1J,GG2HLL_PTV_GT400_1J,GG2HLL_PTV_0_75_GE2J,GG2HLL_PTV_75_150_GE2J,GG2HLL_PTV_150_250_GE2J,GG2HLL_PTV_250_400_GE2J,GG2HLL_PTV_GT400_GE2J,GG2H_FWDH,GG2H_PTH_200_300_PTHJoverPTH_0_15,GG2H_PTH_300_450_PTHJoverPTH_0_15,GG2H_PTH_450_650_PTHJoverPTH_0_15,GG2H_PTH_GT650_PTHJoverPTH_0_15,GG2H_PTH_200_300_PTHJoverPTH_GT15,GG2H_PTH_300_450_PTHJoverPTH_GT15,GG2H_PTH_450_650_PTHJoverPTH_GT15,GG2H_PTH_GT650_PTHJoverPTH_GT15,GG2H_0J_PTH_0_10,GG2H_0J_PTH_GT10,GG2H_1J_PTH_0_60,GG2H_1J_PTH_60_120,GG2H_1J_PTH_120_200,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25
hw_nominal,0.002236687684501513,9.987355748666924e-06,0.0002279969552097498,0.0003102361450214951,0.0005077102269439589,0.00034804720165055236,0.00010721402914512974,2.2332406369492546e-05,0.00030137945789420465,0.0004782017182688714,0.0003942321560463656,0.00015921895743794312,4.81832240542293e-05,0.0002664837364970413,0.00041339328587910995,0.0003868949943396554,0.00022427602688202127,8.324743480278853e-05,0.0003627977105740057,0.00013748067716270673,7.638858277746858e-05,3.535021761404142e-05,1.223196273194312e-05,0.000649851931823554,0.0003099460566674917,0.00010745214584481439,3.289144185046027e-05,2.0589461336186736e-05,0.00010611892593676947,0.00028171803423806716,0.00043433421736352543,0.00034792577116377993,0.0002578016453728387,0.000463677963043773,0.0005178204949413014,0.00039948638548644545,0.0007153566682914882,0.0008655981806165611,0.0002031958115499976,0.0005527679861024384,8.416426213070603e-05,0.00024332258106959993,5.512289728258061e-05,0.00016227397806921483,3.274573567110877e-05,9.410504423577178e-05
hw_alphaS_up,0.0022368079599261893,9.926853762793303e-06,0.00023261453640083422,0.0003122690903690236,0.0005078098367888045,0.00034605246600934544,0.00010600314946535465,2.193329037769367e-05,0.0003030163655139509,0.00047827766841792793,0.0003925131876304054,0.0001579725860078094,4.767522043111899e-05,0.0002674766257201209,0.00041344193854741374,0.00038566073936987817,0.00022298746342088658,8.252947800825892e-05,0.0003702091578409643,0.00013659367069666982,7.60438832987619e-05,3.4906091188722176e-05,1.23739573723909e-05,0.000646161021254111,0.0003076417393316884,0.0001065081955899774,3.252305207551425e-05,2.081155045464503e-05,0.00010714414613987447,0.0002838892670961068,0.0004358097207129562,0.00034708990857323967,0.0002594796306235301,0.00046464260643150487,0.0005162726662268656,0.0004016922888151266,0.0007165370283777576,0.0008633425451107296,0.00020344439681673108,0.0005525620782972794,8.421101044244202e-05,0.00024326657463823433,5.523069931441685e-05,0.00016228812781550199,3.299709108904818e-05,9.450730688357573e-05
hw_alphaS_dn,0.0022367522720177805,9.950435245970568e-06,0.0002258195852794713,0.0003127297413484289,0.0005084619734903646,0.000346230908175323,0.00010569641631589835,2.180570367960828e-05,0.000303384652324906,0.0004790287816920859,0.0003928486001138458,0.00015786500078071613,4.7511861198001874e-05,0.0002678445135219226,0.0004140815028202086,0.00038599678260316364,0.0002229271256866065,8.24072003699681e-05,0.0003593690382473502,0.0001366308771232757,7.584732337314401e-05,3.485186597232422e-05,1.191350940302925e-05,0.0006463307854326846,0.0003073444562877571,0.00010616429763333037,3.237530670181749e-05,2.0848581321566443e-05,0.00010731556743051639,0.00028425644617347873,0.0004364307906303198,0.0003474908753079065,0.0002599030077977186,0.0004654146837245061,0.0005168307301598627,0.00040236054155669775,0.0007178204470510715,0.0008645891026048706,0.00020365394520945683,0.0005532760095143958,8.422253971096716e-05,0.00024327586796204595,5.5028183494264483e-05,0.00016210488221703366,3.2644156212436705e-05,9.379808417648177e-05
hw_pdf4lhc_unc_0,0.002236687684501513,9.987355748666924e-06,0.0002279969552097498,0.0003102361450214951,0.0005077102269439589,0.00034804720165055236,0.00010721402914512974,2.2332406369492546e-05,0.00030137945789420465,0.0004782017182688714,0.0003942321560463656,0.00015921895743794312,4.81832240542293e-05,0.0002664837364970413,0.00041339328587910995,0.0003868949943396554,0.00022427602688202127,8.324743480278853e-05,0.0003627977105740057,0.00013748067716270673,7.638858277746858e-05,3.535021761404142e-05,1.223196273194312e-05,0.000649851931823554,0.0003099460566674917,0.00010745214584481439,3.289144185046027e-05,2.0589461336186736e-05,0.00010611892593676947,0.00028171803423806716,0.00043433421736352543,0.00034792577116377993,0.0002578016453728387,0.000463677963043773,0.0005178204949413014,0.00039948638548644545,0.0007153566682914882,0.0008655981806165611,0.0002031958115499976,0.0005527679861024384,8.416426213070603e-05,0.00024332258106959993,5.512289728258061e-05,0.00016227397806921483,3.274573567110877e-05,9.410504423577178e-05
hw_pdf4lhc_unc_1,0.0022367350241099,9.976492328762169e-06,0.00022960244867670647,0.0003103249803717242,0.000507631201004115,0.0003478278136443644,0.0001071394871294784,2.2311272034716304e-05,0.0003014204341423295,0.0004781020552776961,0.00039401650847643854,0.00015906159828587494,4.8157651624500974e-05,0.000266481232489694,0.00041332266602623117,0.0003867241366622945,0.00022413280863271774,8.312456788174875e-05,0.0003656096159355308,0.0001373369305862648,7.640473043556228e-05,3.5228075805741433e-05,1.2370139173204794e-05,0.0006494196529726344,0.00030973035934034625,0.00010734798643886076,3.285706406124741e-05,2.0584539494633772e-05,0.0001061645011197574,0.0002818127057937154,0.00043435809450825146,0.0003477580140645194,0.00025788985762712933,0.0004636469291858817,0.0005176087364285393,0.0003995633509665111,0.000715289681951856,0.0008652364333633953,0.00020315498072934202,0.0005526796117739963,8.416474794903218e-05,0.00024326468190335993,5.515119464167074e-05,0.0001621405798737569,3.277194419985907e-05,9.427843768468421e-05
hw_pdf4lhc_unc_2,0.0022366917216238825,9.981959854701053e-06,0.00022527769063017975,0.00031088068290408303,0.0005081273500513325,0.0003476593864283589,0.00010673646599540664,2.2125591859923958e-05,0.0003019025190207037,0.00047867428278065144,0.00039408709613443103,0.000158798600090742,4.793542764360294e-05,0.0002668700111936268,0.0004137832007160885,0.00038680678788432805,0.00022390633476419012,8.291726489489635e-05,0.00035853059217061313,0.00013722487191024458,7.614872306024654e-05,3.510743751643665e-05,1.2125457315042338e-05,0.0006490287691268199,0.0003091326575154912,0.00010693750782260504,3.268436271320261e-05,2.063959331649244e-05,0.0001063977098080087,0.00028231897596282015,0.00043501061828725223,0.00034796003520542486,0.0002583995339833689,0.00046433509133343985,0.0005178125077153751,0.00040034211071288605,0.0007164398601105588,0.0008658928434997436,0.00020336724915137803,0.000553171116228162,8.418152323570384e-05,0.0002432433250059953,5.5028686915329375e-05,0.00016200480429903516,3.2549446418090404e-05,9.376523773337897e-05
hw_pdf4lhc_unc_3,0.0022367147020157115,9.992022140734777e-06,0.0002260151932486959,0.00031048638600730897,0.0005079362442021336,0.0003480254774689074,0.00010704789437435654,2.2268393244194045e-05,0.00030157088944836617,0.00047845271897629883,0.00039424817576673335,0.00015911825115295166,4.810670857820556e-05,0.00026664790088557177,0.0004136147722609582,0.0003869529300471966,0.00022419170572826844,8.316863283137864e-05,0.0003597405138258611,0.00013744992627744737,7.631945850893382e-05,3.5300433131355296e-05,1.2073566839846694e-05,0.0006497422702368892,0.00030974659204675885,0.00010728542993187308,3.28165869012728e-05,2.060926190845557e-05,0.00010622259532931362,0.00028193965001104866,0.00043459751956930663,0.0003480235977974301,0.000258017525490576,0.0004639770377947964,0.0005179442528615786,0.00039978842753639766,0.0007158213146575585,0.0008659095865812392,0.0002032693959637917,0.0005530058101082263,8.417274231952853e-05,0.00024333459867421258,5.5067458064290674e-05,0.00016220545852562628,3.2650886898059375e-05,9.391990801374104e-05
hw_pdf4lhc_unc_4,0.0022367254556430747,9.98893060621599e-06,0.00023003474256444393,0.0003098491412887885,0.0005074404828919525,0.0003482581501311963,0.00010750244255057883,2.2461403165145644e-05,0.00030106022982681044,0.0004778881746965791,0.0003942865638077567,0.00015945930706932486,4.833677379339195e-05,0.0002662426200607493,0.0004131339709674593,0.00038692249449971336,0.00022448490946912095,8.343799882058053e-05,0.0003660224967522881,0.00013762135775589345,7.654574414302442e-05,3.548910866286612e-05,1.2314443179881085e-05,0.0006502990547804396,0.00031042573088753053,0.0001077629752655829,3.301810530284547e-05,2.0558281184316898e-05,0.00010595439523539989,0.0002813606439378638,0.00043391669041960366,0.0003478802734374126,0.0002574389205712892,0.00046326281089209683,0.0005177945280080719,0.0003989585688923438,0.0007146576106015444,0.0008653511370910428,0.0002030823528196222,0.0005524945151314549,8.415407095648396e-05,0.00024336813207764346,5.518892963030967e-05,0.00016243650931705307,3.288001513220077e-05,9.435682340271655e-05
hw_pdf4lhc_unc_5,0.0022369381948218543,9.998071000601226e-06,0.00022367514183420888,0.00031077846735791327,0.000508231445721937,0.00034805349033278796,0.00010687597158126718,2.2195318611064747e-05,0.00030178853116938744,0.00047878109983112005,0.0003943159935443673,0.00015903980176715156,4.802563738929163e-05,0.00026683927288009905,0.00041390271967452474,0.00038706197145866575,0.00022413036775458106,8.310337819208929e-05,0.0003561322639537662,0.000137442348832882,7.624049419276743e-05,3.525670626165144e-05,1.1919988812482189e-05,0.0006497290797226368,0.00030957648195676556,0.00010712597573475615,3.274432054460957e-05,2.063352768020214e-05,0.00010634053899964266,0.00028218229077078225,0.00043492184664378265,0.0003481820192895996,0.00025827599804661923,0.00046435093223833317,0.0005181441848646575,0.00040014686241757267,0.0007164059602400698,0.0008663689294503237,0.0002033609485814613,0.0005533198703303491,8.419412265252114e-05,0.00024338379763728945,5.501912669795231e-05,0.00016213909325387936,3.255957799772251e-05,9.371478945124123e-05
hw_pdf4lhc_unc_6,0.002236733458377371,9.979833815305657e-06,0.00023021634599939382,0.00031011837754761206,0.000507509487911497,0.0003479741402018034,0.00010729731443519964,2.2380069184855848e-05,0.000301261092055095,0.00047797092832237164,0.00039409354115468257,0.0001592088210173976,4.824115057863094e-05,0.0002663672534181168,0.00041321559700968814,0.0003867763288761685,0.00022426593601374627,8.324245040405397e-05,0.00036651719912603463,0.00013743415332475716,7.648150048350286e-05,3.5316737399060215e-05,1.237819440229772e-05,0.0006497298576807757,0.0003100145414685721,0.00010751743492382929,3.2923101127824495e-05,2.05706037419277e-05,0.00010607273844889757,0.0002816220379087857,0.00043415122748730024,0.0003477682690783251,0.00025769949789045235,0.0004634498611166154,0.0005176331585942842,0.0003993003955558155,0.0007149720456073717,0.0008651906944982131,0.00020311028327240816,0.0005525715517881434,8.416003089821631e-05,0.00024329234534334587,5.5176164219925644e-05,0.0001622411852756045,3.2821610105379455e-05,9.435858857314777e-05
