,ALL,UNKNOWN,QQ2HLL_FWDH,QQ2HLL_PTV_0_75_0J,QQ2HLL_PTV_75_150_0J,QQ2HLL_PTV_150_250_0J,QQ2HLL_PTV_250_400_0J,QQ2HLL_PTV_GT400_0J,QQ2HLL_PTV_0_75_1J,QQ2HLL_PTV_75_150_1J,QQ2HLL_PTV_150_250_1J,QQ2HLL_PTV_250_400_1J,QQ2HLL_PTV_GT400_1J,QQ2HLL_PTV_0_75_GE2J,QQ2HLL_PTV_75_150_GE2J,QQ2HLL_PTV_150_250_GE2J,QQ2HLL_PTV_250_400_GE2J,QQ2HLL_PTV_GT400_GE2J,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.0010899950436407922,1.9130325128730076e-06,0.0003158243292746098,0.00023304795000354746,0.00017210266675021842,0.00015826023196798558,5.144132757194606e-05,1.7212437652679546e-05,0.00011020346949913426,9.75782236943944e-05,5.7416520362430046e-05,3.0116151175545655e-05,1.5387035819424948e-05,7.350511065767037e-05,7.137273858170272e-05,4.6621562782348575e-05,2.6495329132930806e-05,1.3352129031947582e-05,0.00026872271462824487,0.0002894257738267387,0.00034246207238141865,5.7380276899096706e-05,0.0007462604643713347,0.000100583888630928,8.75134361847073e-05,0.00020077256875156507,0.0001817614305610731,3.562638675126995e-05,8.09487651809775e-05,1.2454675984925597e-05,3.173523638012719e-05,7.51424254041612e-06,2.095790171761858e-05,4.216118313610169e-06,1.2699788911899512e-05,1.5086914318097366e-05,4.012841857900695e-05,6.680366973246953e-06,1.9460263236244834e-05,4.257252149272313e-06,1.3081828389381255e-05,2.4697143543701615e-06,8.289554440300542e-06
hw_alphaS_up,0.0010997339182205663,1.915931878877214e-06,0.000339046780046625,0.00023505379865516797,0.0001719969522241063,0.00012967915435925997,5.1188403016252564e-05,1.708550699859174e-05,0.00011083231023547382,9.81175660124548e-05,5.769755204848367e-05,3.0241443832261637e-05,1.5442101975119255e-05,7.393401665829637e-05,7.17549250949585e-05,4.6832951816495325e-05,2.659647019962819e-05,1.3371237381005035e-05,0.00027053905448479177,0.0002921370112788576,0.00034296622668383104,5.73401971881838e-05,0.0007523630484801313,0.00010106616830274464,8.773132090869239e-05,0.0002017153217001008,0.00018277500330226006,3.584358408120192e-05,8.137981747718113e-05,1.2546490762718478e-05,3.19205389423918e-05,7.579027687199608e-06,2.1088754785555494e-05,4.278610346033673e-06,1.2783289938106878e-05,1.5118398617647574e-05,4.021959614947701e-05,6.703561499486667e-06,1.948248514501585e-05,4.263275598204583e-06,1.3090249973722172e-05,2.4551497833998e-06,8.288804326413584e-06
hw_alphaS_dn,0.0010870271201519849,1.910268140880969e-06,0.0003073147134291766,0.00023214888755137886,0.00017199472544874583,0.00019682401701984027,5.174972653757929e-05,1.7477515658532654e-05,0.00010957981389036124,9.707703267226938e-05,5.720433576652819e-05,3.0068240498134165e-05,1.5417875589935224e-05,7.305076077451388e-05,7.095888699059337e-05,4.636255044633046e-05,2.6367246899752745e-05,1.3330833201552501e-05,0.0002672062126038488,0.0002863899148466714,0.0003425620285113116,5.745550931284132e-05,0.0007391436942713316,0.00010016343755178255,8.724793226426923e-05,0.00019996529932252572,0.00018077132916862203,3.541096930305642e-05,8.043664649010708e-05,1.2364968022961403e-05,3.150446976562881e-05,7.450017684772801e-06,2.079080437211516e-05,4.1750815368723355e-06,1.2600660107982664e-05,1.5056738778258495e-05,3.9923540972268904e-05,6.659631130729451e-06,1.9330939401357765e-05,4.252044885713872e-06,1.2995003184418814e-05,2.453853872592976e-06,8.230328965503378e-06
hw_pdf4lhc_unc_0,0.0010899950436407922,1.9130325128730076e-06,0.0003158243292746098,0.00023304795000354746,0.00017210266675021842,0.00015826023196798558,5.144132757194606e-05,1.7212437652679546e-05,0.00011020346949913426,9.75782236943944e-05,5.7416520362430046e-05,3.0116151175545655e-05,1.5387035819424948e-05,7.350511065767037e-05,7.137273858170272e-05,4.6621562782348575e-05,2.6495329132930806e-05,1.3352129031947582e-05,0.00026872271462824487,0.0002894257738267387,0.00034246207238141865,5.7380276899096706e-05,0.0007462604643713347,0.000100583888630928,8.75134361847073e-05,0.00020077256875156507,0.0001817614305610731,3.562638675126995e-05,8.09487651809775e-05,1.2454675984925597e-05,3.173523638012719e-05,7.51424254041612e-06,2.095790171761858e-05,4.216118313610169e-06,1.2699788911899512e-05,1.5086914318097366e-05,4.012841857900695e-05,6.680366973246953e-06,1.9460263236244834e-05,4.257252149272313e-06,1.3081828389381255e-05,2.4697143543701615e-06,8.289554440300542e-06
hw_pdf4lhc_unc_1,0.0010905697292034708,1.9221616640378165e-06,0.0003208953292214881,0.00023348398087925858,0.00016933886748068787,0.000158297297474255,5.1494686862057816e-05,1.7153956608133507e-05,0.00011015880831799457,9.75637787824051e-05,5.7330281659658557e-05,3.0041385485467256e-05,1.5323192427727936e-05,7.345136727811504e-05,7.129123099508178e-05,4.657195163015509e-05,2.644761547456202e-05,1.3354798445311264e-05,0.000270365709089991,0.0002893882507827543,0.00034125758398737466,5.7394648496030035e-05,0.0007455224145694061,0.00010051766169901709,8.754147840739254e-05,0.0002006710480102009,0.00018159565050068362,3.560741444887706e-05,8.081442214806775e-05,1.2435858395716626e-05,3.176143816873029e-05,7.4975428648743145e-06,2.0943263125869132e-05,4.162248408755623e-06,1.2753973636228564e-05,1.505438133530885e-05,4.014293704614718e-05,6.670566527578637e-06,1.9383191675660096e-05,4.259517713494585e-06,1.3031835596797328e-05,2.4043659227903453e-06,8.26645563653761e-06
hw_pdf4lhc_unc_2,0.0010652665416621913,1.9080888762334854e-06,0.00031187099914413766,0.0002332001464010774,0.00017199447596472403,0.00014793886642841067,5.053787955804831e-05,1.7203610224235838e-05,0.00011065415983700745,9.783698820987916e-05,5.744752894157884e-05,3.009272185771878e-05,1.5329339564484825e-05,7.381160175774357e-05,7.159572445091908e-05,4.672136018149299e-05,2.6515507082038366e-05,1.3361915208347057e-05,0.0002667541243996119,0.0002814272295961825,0.00033988276865444826,5.745954785975683e-05,0.0007184047245819442,0.00010095843615605549,8.654951666528385e-05,0.00020116745564530928,0.00018233838337055095,3.573939971492554e-05,8.115820956639971e-05,1.2503926412423271e-05,3.181733746326595e-05,7.531217117863182e-06,2.1065515169408295e-05,4.198866513473732e-06,1.276888808185737e-05,1.5099020776410098e-05,4.017849004076956e-05,6.671300399583698e-06,1.948119648995755e-05,4.266318399752038e-06,1.3077230902437194e-05,2.472103546193478e-06,8.288411855675318e-06
hw_pdf4lhc_unc_3,0.0010868052789523882,1.9119150987628766e-06,0.00030438826568082397,0.0002330635567035148,0.0001696416282229652,0.00015793707051452505,5.136308097696399e-05,1.7204359412551776e-05,0.0001101469318663562,9.750902081133249e-05,5.7339069090035025e-05,3.016029281615187e-05,1.5364468275398113e-05,7.345725363721953e-05,7.128958287330633e-05,4.663933895754767e-05,2.644305974946342e-05,1.3352053929980871e-05,0.00027385011077714935,0.0002891249042877535,0.0003427481748566509,5.7353744896468094e-05,0.0007451222228544862,0.00010057866504876412,8.742182550450988e-05,0.00020072448777564575,0.00018164791305102078,3.56201603831373e-05,8.087267955071515e-05,1.2429640696628842e-05,3.1792823126949925e-05,7.491387785501217e-06,2.100772398845538e-05,1.0566133632587692e-05,1.2658836027147763e-05,1.5258758287033332e-05,4.016111227962602e-05,6.679097173556145e-06,2.002130131737061e-05,4.350347278025323e-06,1.3141604300048796e-05,2.9759009727927456e-06,8.33750312848983e-06
hw_pdf4lhc_unc_4,0.0010979368774213809,1.9004824041960978e-06,0.0003159205418134199,0.00023360567382630553,0.00017241169792689426,0.00016070286088471782,5.140362159468029e-05,1.6945386224975468e-05,0.0001103400285926113,9.760073716368132e-05,5.733591954747961e-05,2.9951657244832656e-05,1.5228892878159122e-05,7.368903698633185e-05,7.149958946946518e-05,4.669328283975116e-05,2.6471946352609844e-05,1.3285291691866805e-05,0.00027034456035128994,0.0002920702640207568,0.0003428528333628089,5.733678687600341e-05,0.000755125547715549,0.00010065199422256796,8.780233432017517e-05,0.0002006559857418601,0.00018198446642919903,3.5687644672570785e-05,8.111901299947572e-05,1.2480488856744694e-05,3.182918536677178e-05,7.527814060602684e-06,2.104967405094112e-05,4.2619432340244044e-06,1.2752322889124191e-05,1.5011880850426246e-05,4.008561602394822e-05,6.658030092912507e-06,1.94609160489641e-05,4.247648330844133e-06,1.3118903887749539e-05,2.4680471325276073e-06,8.31891988895036e-06
hw_pdf4lhc_unc_5,0.0010921816294819579,1.9122798091682477e-06,0.00032065835052948394,0.0002349647599430587,0.0001699628353021321,0.00015863199465875925,5.155957176588457e-05,1.7193557669688622e-05,0.00011020603034363031,9.755988600485684e-05,5.7380811851956304e-05,3.0083326464276443e-05,1.534990597625583e-05,7.344370185505862e-05,7.129803362809615e-05,4.6543481262024195e-05,2.64338929587026e-05,1.3292575219624153e-05,0.00026898487974486024,0.0002899361872317135,0.0003416837758687001,5.742510732601472e-05,0.000747337932474579,0.00010055005325800432,8.760086398873922e-05,0.0002008005633927558,0.00018164763494555225,3.5581851620211664e-05,8.080570896317825e-05,1.242073898998467e-05,3.1658183365581305e-05,7.489139313676241e-06,2.088624575284811e-05,4.184808451165645e-06,1.2642388197705964e-05,1.5051443307352587e-05,4.002083073951759e-05,6.645577599262154e-06,1.93652558627682e-05,4.231534183908551e-06,1.2986430362920989e-05,2.4447818882187473e-06,8.232340715614624e-06
hw_pdf4lhc_unc_6,0.0010877010058580017,1.9261872672447696e-06,0.0003188812636363387,0.00023790189032067656,0.00017299495319414353,0.00015728947497264056,5.127161552265483e-05,1.7232470355855474e-05,0.00011022955528750279,9.762887236425761e-05,5.738213400775262e-05,3.0091529611584243e-05,1.5325553793888958e-05,7.348106134094313e-05,7.137919152927197e-05,4.6611176766645285e-05,2.6566258315032416e-05,1.3339996578168815e-05,0.00026959933965802374,0.00028783493620627456,0.00034120205543059434,5.737988356073483e-05,0.0007409995703376891,0.00010053347000866873,8.725307002726909e-05,0.00020070695466152286,0.00018177851022511173,3.5605944055513995e-05,8.090830262918846e-05,1.2457064782972717e-05,3.1725790590787476e-05,7.509696834578422e-06,2.0974070831817546e-05,4.168330033385379e-06,1.2756102134229323e-05,1.5083634052667869e-05,4.0123404919200514e-05,6.674296193728661e-06,1.9469939466958115e-05,4.251352771587818e-06,1.3084548292717737e-05,2.4847259344404185e-06,8.288362704890501e-06
