,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_nominal,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_alphaS_up,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_alphaS_dn,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_0,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_1,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_2,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_3,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_4,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_5,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_6,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_7,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_8,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_9,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_10,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_11,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_12,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_13,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_14,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_15,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_16,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_17,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_18,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_19,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_20,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_21,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_22,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_23,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_24,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_25,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_26,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_27,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_28,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_29,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_30,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_31,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_32,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_33,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_34,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_35,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_36,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_37,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_38,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_39,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_pdf4lhc_unc_40,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_0,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_1,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_2,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_3,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_4,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_5,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_6,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
hw_qcd_7,3550000.0,28620.0,58647.0,803354.0,1222492.0,879571.0,373092.0,141332.0,42892.0
