,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,1.0,5.574189305794772e-06,0.07499443896273908,0.07197981521286836,0.3382355454995709,0.004917572748260495,0.009928381492428289,0.07487977356612305,0.007798296347295295,0.012978289065932779,0.03615327091691365,0.10291458888067063,0.030545114507277257,0.054454631589107565,0.014114575050349703,0.05080069579054927,0.011642985975629305,0.05495890935935729,0.009182077752482415,0.005440263145207867,0.004206240228825691,0.00493698300606264,0.002890181480432746,0.006128077916480579,0.0030573122708765204,0.009334763915187741,0.0035216411300650445
hw_alphaS_up,1.0,5.576050387113455e-06,0.07493415969749151,0.07208778852304158,0.3383985826875254,0.004920415793609308,0.009923993158402679,0.07482156862770459,0.007800519972805071,0.012984452164021417,0.0361529013629847,0.1028950907170778,0.03055561979431228,0.054453973507244645,0.014121719178068277,0.05078148126356804,0.011646758687217845,0.0548896154205089,0.009178783878941272,0.005430036772506906,0.004202752160171432,0.004929284440076822,0.002887281524115506,0.006117157817678286,0.003054184917442694,0.00930992707110834,0.0035163748119876404
hw_alphaS_dn,1.0,5.5650396158487265e-06,0.075143353664865,0.07180927123570176,0.33797435114516144,0.004913925912877939,0.009921372756829168,0.07484221728958974,0.007793434733424967,0.012966361962258652,0.036124284855523256,0.10289339516554967,0.030524319694504254,0.05447692349996744,0.014111452915939529,0.05086220586529865,0.011648037522787215,0.055152113553020465,0.009202903005565824,0.005451759377148864,0.004211770860708812,0.004948343983820988,0.002894502331800248,0.006144517390893094,0.0030632633435483873,0.009383733381887076,0.0035366195117116656
hw_pdf4lhc_unc_0,1.0,5.574189305794772e-06,0.07499443896273908,0.07197981521286836,0.3382355454995709,0.004917572748260495,0.009928381492428289,0.07487977356612305,0.007798296347295295,0.012978289065932779,0.03615327091691365,0.10291458888067063,0.030545114507277257,0.054454631589107565,0.014114575050349703,0.05080069579054927,0.011642985975629305,0.05495890935935729,0.009182077752482415,0.005440263145207867,0.004206240228825691,0.00493698300606264,0.002890181480432746,0.006128077916480579,0.0030573122708765204,0.009334763915187741,0.0035216411300650445
hw_pdf4lhc_unc_1,1.0,5.7324293483522316e-06,0.07543526150054948,0.07195709856058377,0.3381068388274766,0.004915540742297353,0.009926981815115418,0.07487303165332841,0.007797071711735926,0.012981826372400841,0.036167986303893306,0.10285426532890088,0.030544071254097138,0.054386759440945454,0.014108990946891064,0.05070388595791423,0.011637154654161503,0.05490541048230376,0.009201711934926162,0.0054338348685735675,0.004206760263553588,0.0049252544815665345,0.002887453717581374,0.006116389277130164,0.0030550214994563858,0.009338407120330747,0.0035272588549380814
hw_pdf4lhc_unc_2,1.0,5.769180639652208e-06,0.07532084805692695,0.07202848868498357,0.33818091684958046,0.004916779665232684,0.0099433620363513,0.07492438517720344,0.007801426999006345,0.012991506664825167,0.03619806718320923,0.10277417431540235,0.030538611821941338,0.05430936166118441,0.014102389960800817,0.05066139896277868,0.011636917818483151,0.054986482670081036,0.009205045508583226,0.00542602423883871,0.004198977232854055,0.004921670571060227,0.00288558136624734,0.00611314816845491,0.0030548141852427754,0.00934650418006235,0.003527346840025736
hw_pdf4lhc_unc_3,1.0,5.6612458503183076e-06,0.07543060969682253,0.07193767303386032,0.3380570761264504,0.004909917364471572,0.009923060852254301,0.07484474362785225,0.0077981981782839025,0.01296842048537228,0.03613911484168327,0.10285040002235284,0.030518951689781866,0.05439675037924737,0.014102982949226479,0.05077822372534,0.01163322162725002,0.054969161658135535,0.009198913031512447,0.005443875729441156,0.0042013285677478225,0.00493380972844319,0.0028912273681993687,0.006137180148998069,0.00305693259183692,0.009353915736057886,0.0035186495935278996
hw_pdf4lhc_unc_4,1.0,5.629202585464761e-06,0.07503180549694098,0.07198945062310069,0.33821398683337894,0.004918292388644755,0.009933521596222197,0.07490176145678655,0.007800641088479345,0.012985221518821635,0.036178716815810155,0.10292276211703763,0.030566828089907648,0.05444781967577652,0.01412382264543455,0.0507746442501915,0.01164565020471644,0.05488325977746898,0.009178609183291728,0.0054415498313639225,0.004208570484668937,0.00493644629923966,0.002890794975133152,0.0061239388491287515,0.0030565937537042143,0.009320264465129091,0.0035194183770366045
hw_pdf4lhc_unc_5,1.0,5.577861534992981e-06,0.07485852639238842,0.07202031063038809,0.338348405903392,0.0049182443833803964,0.009935707185639861,0.07494748873717816,0.007799816002845651,0.012981002177715816,0.03616717519243444,0.10298151218013321,0.030556105560862346,0.054470933241638764,0.014110046301937447,0.05079175748580196,0.011632795597463223,0.05485272087778732,0.009155666574754088,0.005439759919657339,0.004204850439594272,0.004935809832169572,0.002888133847255128,0.006122695640956045,0.0030528100336356546,0.009312543186294221,0.003509604813161545
hw_pdf4lhc_unc_6,1.0,5.610177268618076e-06,0.07533252905544986,0.0719482661836325,0.3380907969554208,0.004914524399281332,0.009928931701812336,0.07485174434762992,0.007803426560639509,0.012983314109543113,0.03617201828404249,0.10283613223845492,0.030548309809202923,0.05439515539908962,0.01411354114813636,0.050721159996444096,0.011646541231861735,0.05496956068764744,0.009212918894490775,0.005435001003267522,0.0042070567647609965,0.004929818101909824,0.002890514873776914,0.00612056531032571,0.0030601908593041586,0.009346194697611743,0.003536177208994735
hw_pdf4lhc_unc_7,1.0,5.545065741508807e-06,0.07497616062635501,0.0719956421258396,0.33828737541702725,0.0049180741500816465,0.00993312252214327,0.07490718064249839,0.007800328883405656,0.012981552955321633,0.03615920934289313,0.10294394651112002,0.03055154133193849,0.05446045755541172,0.014110953670016394,0.05077633643110671,0.011636824433139287,0.05490123900716263,0.009169329392158632,0.0054377777471347685,0.004204867423897777,0.004935571009575711,0.0028882806223411973,0.0061215145642348175,0.0030546735253563976,0.00932438806927286,0.003518106974825466
hw_pdf4lhc_unc_8,1.0,5.630937965952503e-06,0.07478193768755341,0.07197384448197203,0.33828721567483294,0.0049177958479243306,0.00992561262022227,0.07484254028304796,0.0078009338724571225,0.012982094962388611,0.03614812175431803,0.1029002203897423,0.030546734940253548,0.05447464605804412,0.014126533811693027,0.050847442854498846,0.01166164457529679,0.055023993833517956,0.009199724036437495,0.005441171334951062,0.004208487192042159,0.004940194480170311,0.002893424630388783,0.006135282606274422,0.0030629753100003426,0.009344727435479351,0.0035270683885268283
hw_pdf4lhc_unc_9,1.0,5.587304660866625e-06,0.07574988318209436,0.07183520013668138,0.3378350275644139,0.004907676818503361,0.009904003453141916,0.07469487916585454,0.0077922532900807145,0.012964091986609728,0.0360959979620345,0.10273561714077037,0.030502783742113456,0.05439038078803761,0.014104943574415331,0.05078199225541458,0.011647656472250627,0.05520548939946627,0.009242545953672127,0.0054369154721318645,0.0042026947851433365,0.004932340573138596,0.0028920641262009986,0.006133570240106261,0.003062549307047524,0.009395306598471537,0.0035485487075442804
hw_pdf4lhc_unc_10,1.0,5.530174047657372e-06,0.07496987461257917,0.07200263056926648,0.3382810499340046,0.004917697365289851,0.009929656094357472,0.07489649910360656,0.007794621729950651,0.012972163888898807,0.036134339588459775,0.10291518972201263,0.030529301622934057,0.05445815151372793,0.01410662233401002,0.050811732386207134,0.011637792156047485,0.054954882320846554,0.009175363342070758,0.005439688241748252,0.004204114621880176,0.0049374680792746446,0.0028887908715958576,0.006128719584432467,0.0030562473047162954,0.009331189915180482,0.00352068292285423
hw_pdf4lhc_unc_11,1.0,5.569119320684179e-06,0.07517258245919357,0.07197548878803108,0.3381687645429962,0.004916392059512383,0.0099297828235798,0.07487957297323146,0.007796855153751423,0.012975574595238137,0.03614746009044096,0.10286792789465592,0.030530839841966157,0.054424010544275814,0.014108161783323268,0.05077881571238334,0.011641152279661825,0.05497606069323309,0.009188488023085924,0.005437694785246623,0.004204611248042433,0.004934880398263095,0.0028895150367517493,0.0061268277635955284,0.0030580990054416115,0.00933917777613413,0.003525694608643705
hw_pdf4lhc_unc_12,1.0,5.58860600636069e-06,0.07536976082831075,0.07188587543771979,0.33800691313667497,0.004915213887240247,0.009913265502983862,0.07473206893206975,0.007793181951805934,0.012967576712488276,0.036110566784977774,0.10277321969586145,0.030509750190717434,0.05441335967037277,0.01411649590246361,0.0508061170982104,0.011656127082099075,0.05518873257764655,0.009229328568816477,0.005442309465226988,0.004206494475225505,0.00493709079020387,0.0028921399799608427,0.006138214472982827,0.0030631234018905253,0.009385225950053625,0.0035422588979902247
hw_pdf4lhc_unc_13,1.0,5.525911020401948e-06,0.0754591541061061,0.07197118603204837,0.33807731307295574,0.004914460058999341,0.009929851938871734,0.07485769728487074,0.0077905615361181565,0.012964588615263624,0.03610858102703113,0.10277280596728196,0.030489456652218513,0.054392982763857955,0.014092724510456314,0.050792475026182025,0.011634330934298769,0.0550396626267738,0.009187951598263645,0.005432927920327219,0.004200952418877393,0.004933232800308157,0.002887177106827091,0.006128331658535798,0.0030562024035028115,0.009353841986748998,0.003526024042254199
hw_pdf4lhc_unc_14,1.0,5.533894870179038e-06,0.07521110621310409,0.0719576937640709,0.33818209996330634,0.004913862276555181,0.009935530467726727,0.0748653452661171,0.007804022935502733,0.012976863286269132,0.036151065280164194,0.10289598770573526,0.03054668242655672,0.05444553335460154,0.014103184597017896,0.05075475753136249,0.01163551879372288,0.054941326700026404,0.009171623043256479,0.0054360294412888425,0.004205400099840374,0.004931815940902839,0.0028887345479645323,0.006119933809103196,0.0030544907777481003,0.009338668444819698,0.0035271894383661685
hw_pdf4lhc_unc_15,1.0,5.584016660917778e-06,0.07530335493163087,0.07199135410826249,0.33816259978277013,0.004915339471355239,0.009929655175469423,0.07489619884270383,0.007794029631832527,0.012971019013658991,0.036139139790273236,0.10287552625193395,0.03052102889344785,0.05440736037400913,0.014096915847609253,0.05074795866999482,0.011627953572372552,0.05494254107206673,0.009181170741107213,0.005435807341184741,0.004202033976770209,0.004931879130593925,0.0028871650787983243,0.006122492362502028,0.0030541594685969072,0.009336104831796862,0.0035216276225977566
hw_pdf4lhc_unc_16,1.0,5.3947482368316934e-06,0.07515848049079045,0.07195530778945415,0.33816123130168485,0.00491570263599096,0.009925431226186802,0.07489017938456312,0.007791684137457873,0.012965053996124427,0.03612037467029954,0.10291469406987468,0.030517573921128034,0.05444835993982177,0.014095408705045904,0.05080162541445941,0.011626918390267695,0.055010728514332786,0.009172144314800946,0.005440067079324284,0.004204565279680761,0.004938018731260906,0.0028884714276081183,0.006129077689860159,0.003054905678530543,0.009346026797988382,0.0035225736652266066
hw_pdf4lhc_unc_17,1.0,5.5908887910313426e-06,0.07517792765321422,0.0719255550065674,0.33813230861986,0.004914343812076511,0.009916014959801099,0.07480584570864852,0.007794237291712923,0.01296671611209255,0.03610921246089218,0.10286918953705426,0.030515819422183163,0.05445668473997381,0.01410637381335924,0.05082883803319505,0.011641910767181154,0.05508224766368778,0.00919827739121949,0.005438733631921259,0.004204157779723253,0.004938057779821018,0.0028902128442544173,0.006132778799474914,0.0030582779621133507,0.009361761564194736,0.0035289257569867307
