,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,0.00043574556405802394,1.0177030741959532e-06,0.0001220349063605624,0.00011713303617505391,0.0002539558845576035,3.0862657008225335e-05,4.3602700934279714e-05,0.00011849806072085242,3.835056332192617e-05,4.948805027326001e-05,8.255362824234368e-05,0.0001385394777910304,7.557153097196286e-05,0.00010085284706189232,5.1543538157748146e-05,9.779381246185028e-05,4.673354240228856e-05,0.00010248158028228113,4.179505889350879e-05,3.195115544424584e-05,2.8089306617766443e-05,3.0364673621088044e-05,2.3234308206641996e-05,3.3827466351506206e-05,2.3883391216551624e-05,4.192099272731011e-05,2.5757182205404167e-05
hw_alphaS_up,0.00043602983811555905,1.0181375401742203e-06,0.0001221331849380151,0.00011737741198705578,0.0002542337143087288,3.08946695366093e-05,4.360592685067577e-05,0.00011845453326822485,3.838763734455886e-05,4.9532673142880974e-05,8.26109717184981e-05,0.00013855679243455807,7.562344413372692e-05,0.00010088896338728345,5.1585950141781505e-05,9.780728778994244e-05,4.6773971691867154e-05,0.0001024772772963941,4.182980252359928e-05,3.190586970955666e-05,2.8081462830772034e-05,3.0325849980124382e-05,2.3222339141014326e-05,3.377997086066013e-05,2.3866723643306998e-05,4.1856073236844134e-05,2.5749251170816486e-05
hw_alphaS_dn,0.0004357056761445756,1.0164252888401175e-06,0.00012232406196985534,0.00011682873490804146,0.00025370505844487325,3.0829614415725816e-05,4.3565520919136284e-05,0.00011841388380871826,3.832072709014043e-05,4.943636684788327e-05,8.247139380639495e-05,0.0001385128768670844,7.551717696541082e-05,0.00010088998339912883,5.1535209625186276e-05,9.790178247720584e-05,4.674959775311786e-05,0.00010283596983652779,4.1885427520617476e-05,3.201597591260321e-05,2.8123756706202667e-05,3.0433702237059404e-05,2.3268793631991445e-05,3.392072240048558e-05,2.3931178333760297e-05,4.214724027516771e-05,2.586941884293355e-05
hw_pdf4lhc_unc_0,0.00043574556405802394,1.0177030741959532e-06,0.0001220349063605624,0.00011713303617505391,0.0002539558845576035,3.0862657008225335e-05,4.3602700934279714e-05,0.00011849806072085242,3.835056332192617e-05,4.948805027326001e-05,8.255362824234368e-05,0.0001385394777910304,7.557153097196286e-05,0.00010085284706189232,5.1543538157748146e-05,9.779381246185028e-05,4.673354240228856e-05,0.00010248158028228113,4.179505889350879e-05,3.195115544424584e-05,2.8089306617766443e-05,3.0364673621088044e-05,2.3234308206641996e-05,3.3827466351506206e-05,2.3883391216551624e-05,4.192099272731011e-05,2.5757182205404167e-05
hw_pdf4lhc_unc_1,0.00043703825845783673,1.0511250806575575e-06,0.00012435632165706123,0.00011723093014741033,0.0002543327194188472,3.089415778697974e-05,4.3632387197410925e-05,0.00011853872398284483,3.843077165595824e-05,4.9585779433701785e-05,8.268813403189654e-05,0.00013860645583076823,7.567597459768006e-05,0.00010089569631265082,5.160740531708827e-05,9.783672332161256e-05,4.682571549246256e-05,0.00010310222784650802,4.2222933322742445e-05,3.194681128005807e-05,2.815986045356586e-05,3.033406316950704e-05,2.3257443398215325e-05,3.3868136386577665e-05,2.391553601360063e-05,4.239245546777484e-05,2.5996184892934984e-05
hw_pdf4lhc_unc_2,0.0004362820745783366,1.0543607677370105e-06,0.00012291777850671417,0.00011732208138904909,0.0002541894381527449,3.089218872840062e-05,4.371155231613443e-05,0.0001186693239465173,3.8409489122290465e-05,4.958646654695952e-05,8.27354805337418e-05,0.0001384908152607606,7.562976181752432e-05,0.00010067331592392621,5.1532979976517646e-05,9.76163510786043e-05,4.675895211828577e-05,0.00010270923290485946,4.1973269304301006e-05,3.189512890143115e-05,2.8071923466707315e-05,3.029247703864472e-05,2.3219433870840357e-05,3.377957049430819e-05,2.3884505980977173e-05,4.207404143934063e-05,2.5850074924901134e-05
hw_pdf4lhc_unc_3,0.0004393707050942399,1.0364794505926617e-06,0.00012796581470895496,0.00011728061685476245,0.00025495490891651556,3.087499158975456e-05,4.3624674721145696e-05,0.00011850923849141722,3.849699897972553e-05,4.9551551849920016e-05,8.276752122997325e-05,0.0001387954688768926,7.56934616523306e-05,0.00010098087963991005,5.183252570857916e-05,9.830792686588423e-05,4.710418874893891e-05,0.0001046312233868763,4.314045011739435e-05,3.261899321099961e-05,2.8107548739514027e-05,3.052982706562521e-05,2.3425223714832778e-05,3.471216302026876e-05,2.4138941547771632e-05,4.303655699313253e-05,2.6092164985694184e-05
hw_pdf4lhc_unc_4,0.00043587736135593187,1.0279056976734142e-06,0.0001221778678239979,0.00011717320441468693,0.00025400838220783825,3.0872086843772664e-05,4.363353047729992e-05,0.0001185505316870556,3.837433658433774e-05,4.952641942443294e-05,8.263217227403746e-05,0.00013858641549962088,7.56419419808377e-05,0.00010086586236122727,5.1592065210410825e-05,9.776829031905266e-05,4.675771154279264e-05,0.00010239297597594659,4.179869018033459e-05,3.197002045075389e-05,2.811234076349205e-05,3.0367783961207572e-05,2.3244899750282763e-05,3.3813114003254865e-05,2.3884997657049333e-05,4.187969579818471e-05,2.5757700904846614e-05
hw_pdf4lhc_unc_5,0.0004360098728789077,1.0183783987276352e-06,0.00012224400221733334,0.00011721778547146321,0.00025412862745118986,3.087241727677654e-05,4.3660209957343434e-05,0.0001186118242580582,3.837953237949778e-05,4.9515332839514965e-05,8.260050566686926e-05,0.00013865163295523382,7.561508632613394e-05,0.00010091308113725866,5.1534695863505664e-05,9.781371175129586e-05,4.671218728713755e-05,0.00010241149086736076,4.172351032728135e-05,3.1955626375856864e-05,2.809626790816663e-05,3.0362721815770615e-05,2.322506849000382e-05,3.381206646401089e-05,2.3857068948657695e-05,4.192671565440631e-05,2.571166019786356e-05
hw_pdf4lhc_unc_6,0.0004367449445693487,1.0248498929591783e-06,0.00012391559410314412,0.00011718341965147922,0.0002542115289176528,3.0866831800425114e-05,4.3683488186529886e-05,0.00011850743050581192,3.8474097001366234e-05,4.957332974343449e-05,8.26921804531178e-05,0.00013854063793418433,7.567725217814677e-05,0.00010088312667448869,5.158927173675486e-05,9.778561650898828e-05,4.6846247836462885e-05,0.00010297644917527168,4.211045008516568e-05,3.1946361620674617e-05,2.8153474757751866e-05,3.0342788577194692e-05,2.3277864006360222e-05,3.384082895591344e-05,2.39473338135916e-05,4.228551864041126e-05,2.6035662931026366e-05
