,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_nominal,1.0,8.85123145076473e-06,0.07014431582086736,0.07377265024136243,0.34238375238241125,0.005007562131511684,0.01011413902050128,0.07521599692310578,0.008107537422171133,0.012842067801604259,0.03654627900327992,0.10299265181491604,0.0312469995058028,0.05449043546460292,0.014320732062888171,0.050472411220988715,0.011674966648396203,0.05298503446558768,0.008736337974166345,0.005470169231279161,0.0042813535676625184,0.004876306541856085,0.002915341523058359,0.006112824208192719,0.0031193697388575453,0.008903241935947898,0.003258672117530915
hw_alphaS_up,1.0,8.901069148188311e-06,0.06999493376013373,0.07401275769683967,0.3427440354528862,0.005013178405662593,0.01011979587293294,0.0752295230835195,0.00811106460672343,0.012852673727279145,0.03656840517403038,0.10301515134532245,0.031269577472965035,0.054469756978048386,0.014321173437620805,0.05038703111814143,0.01166454694963499,0.05274283862307921,0.008707753751545326,0.005452650163629967,0.00427112123204111,0.00486065724550057,0.0029075687719360183,0.006088226949872555,0.0031077966833609597,0.008840404455661892,0.003238475972483471
hw_alphaS_dn,1.0,8.826847798870376e-06,0.07023521691968806,0.07355386358075994,0.3420637660683665,0.005002642389884948,0.010112355039451662,0.07522827737164296,0.008105564493437318,0.012835445823366685,0.036537723959521665,0.10298884081257506,0.031235876905721213,0.05450733907914821,0.01432294084891479,0.05054706100152872,0.011686860101943348,0.05317716653578533,0.00876105870114039,0.005487791726880266,0.0042918201465394455,0.004891327364882352,0.0029233104721449682,0.0061352478301427375,0.0031305987948151695,0.008953395748753862,0.003275681435165438
hw_pdf4lhc_unc_0,1.0,8.791304714350756e-06,0.07006825312097634,0.07367137317184179,0.3422917020318479,0.005006899014893031,0.01009584704257352,0.0750596323113287,0.00810993011237594,0.012836772089502764,0.03650539005419415,0.10293162130096714,0.031231540183025576,0.054532309340395414,0.014335330166708411,0.05057442267018205,0.011701584227840619,0.053229447742343956,0.00877241993743971,0.005475513044401341,0.004284991882111542,0.004883411845451834,0.002918264597185011,0.006128236503787405,0.0031267598858771475,0.00894662369300929,0.00327293272502517
hw_pdf4lhc_unc_1,1.0,9.155527982328755e-06,0.06962971484355122,0.07386440150381872,0.3426587148704054,0.005013580424567173,0.010131614178355872,0.0753146386634695,0.008117725189498631,0.012867956203117169,0.03661928022455826,0.10311430900719104,0.031326796958797136,0.05452755015620471,0.014347562143455428,0.05044410341859725,0.011687162974723084,0.052761146255287876,0.0087177962129748,0.0054705576479975575,0.004279242863021652,0.004874836234328501,0.0029128461710172435,0.006098366466335229,0.0031195194847617636,0.008851297447239117,0.003240124928743416
hw_pdf4lhc_unc_2,1.0,8.841161405329749e-06,0.07005203986695156,0.07378623783145745,0.3424362828434043,0.005008150257832395,0.010116259875055952,0.07523260012190654,0.008108855717064644,0.012843905316219671,0.036551578422113845,0.10301805868483076,0.0312582436858845,0.054492758127064334,0.014319222209604658,0.050480958227704174,0.011675046124302391,0.05295384733561289,0.008738440339037892,0.005470539366856744,0.004281607088194404,0.004877163894207533,0.002915556731149818,0.006110176425219417,0.003118498329665498,0.008889447037965877,0.003255684979287314
hw_pdf4lhc_unc_3,1.0,8.741957067285818e-06,0.06971179821167733,0.07395787433509386,0.34280763260699065,0.005009246779118923,0.01013354755154389,0.07547999331311166,0.008102822039399535,0.012832580876029691,0.03656980350213983,0.10330583816651527,0.03126152838279585,0.05454655493779784,0.014295797858543853,0.05038844176322627,0.011615536753336233,0.0525746156940084,0.008640409611704602,0.005473083250041673,0.004275595792959015,0.004872802578914669,0.002904890717104748,0.0060942285665394865,0.003103402703988775,0.00881416518582807,0.0032190668645225027
hw_pdf4lhc_unc_4,1.0,8.834006233693509e-06,0.07017881164792739,0.07388635833610112,0.34253804256470494,0.005010440789080451,0.01013539836894082,0.0754227455305775,0.008105912021180583,0.012844591667416302,0.03659954584538164,0.10308753862259816,0.03125785447141337,0.05441994127265507,0.01429316322081663,0.05032134740806164,0.011631157952621853,0.05275805663912324,0.008689165643516664,0.005467476079056225,0.004275099584755485,0.004865089708700135,0.002905816447396107,0.006089312580727886,0.0031059997059439304,0.008862237410922057,0.003240062474147158
hw_pdf4lhc_unc_5,1.0,8.76444995769355e-06,0.07007080020765208,0.07371648357188525,0.34234925706930497,0.005005289253152547,0.01009716659391429,0.07509358801923753,0.008103374936084068,0.012828806528841892,0.03648187954780889,0.10292614505657835,0.031207154389685816,0.05452857095130331,0.01431726846523785,0.0505856359839725,0.011683611619612821,0.05322975247245839,0.008750069534247241,0.005470862381885312,0.004279810320790756,0.004883115185296345,0.002916256859792084,0.006129313503294437,0.003125959303901214,0.008944503464675263,0.0032665603294290925
hw_pdf4lhc_unc_6,1.0,8.967834963493539e-06,0.07006722557606448,0.0737853787270098,0.34242871749740483,0.005008840320315827,0.01011684858984447,0.0752312749277027,0.008107311659859342,0.012845447446120598,0.03655877019151356,0.1030141981063316,0.0312569618376794,0.05449925444350831,0.01432209185315497,0.050467497822707895,0.01167578190787632,0.05293818025667061,0.008738738071770492,0.005470262932510658,0.004281090137584415,0.004875330900504103,0.0029158344693682526,0.006110704682365378,0.00311987639668616,0.0088980296879345,0.003257383722547815
hw_pdf4lhc_unc_7,1.0,8.83296384199032e-06,0.07030614656563632,0.07375328051888502,0.3423171898349433,0.005007206073434541,0.010110709525644333,0.0751885040890778,0.008105962988335906,0.012840095302699635,0.03653698275818794,0.10294072942561952,0.031236356876019687,0.05445786097827261,0.014316612150585386,0.05045833720802332,0.01167632623845764,0.05304132893217926,0.008748160842840934,0.00546848730116814,0.004279633421788076,0.004874202087012554,0.002914909085148469,0.006111243890884397,0.00311910234588276,0.008917677178600328,0.003264121416830158
