,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25,QQ2HLNU_FWDH,QQ2HLNU_PTV_0_75_0J,QQ2HLNU_PTV_75_150_0J,QQ2HLNU_PTV_150_250_0J,QQ2HLNU_PTV_250_400_0J,QQ2HLNU_PTV_GT400_0J,QQ2HLNU_PTV_0_75_1J,QQ2HLNU_PTV_75_150_1J,QQ2HLNU_PTV_150_250_1J,QQ2HLNU_PTV_250_400_1J,QQ2HLNU_PTV_GT400_1J,QQ2HLNU_PTV_0_75_GE2J,QQ2HLNU_PTV_75_150_GE2J,QQ2HLNU_PTV_150_250_GE2J,QQ2HLNU_PTV_250_400_GE2J,QQ2HLNU_PTV_GT400_GE2J
hw_nominal,1.0,0.002494363967043069,0.08160755973395611,0.04037268567063258,0.2127261558629019,0.010486070320492848,0.11418797336160029,0.023013624669725632,0.013731967461832412,0.08043508569585169,0.07012150395846509,0.0028488458837991055,0.013751140248634547,0.00034010464598877114,0.0021347815082322563,0.00013102297648321453,0.0008951294112668446,3.349159384937925e-05,0.0002996415610579699,0.0006606609659865497,0.0036840834582206727,0.00012959091044496373,0.0008547360638367547,5.9510228444979206e-05,0.0003903983676961317,1.8190966346095852e-05,0.00014587486969477753,0.03932329919538376,0.10416709940951271,0.060101666747158375,0.016690664908674026,0.0038995396853748706,0.0008048925328065034,0.031458274791901594,0.023761684720383803,0.008332143686492873,0.0023037146072558516,0.0005156498481056844,0.013700302729128182,0.012063724450385671,0.005213087111502521,0.0016673890166930346,0.0004426721967560019
hw_alphaS_up,1.0,0.002491457265129123,0.08137522743077964,0.04030647692722889,0.2122765115898032,0.010461533560155072,0.11359299454848139,0.023181434066909156,0.013779392815536765,0.08094722176727899,0.07061594670933169,0.0028682266244776044,0.013834201583487039,0.00034230348481351623,0.002146355328782772,0.00013162960424800777,0.0008992767560160684,3.366261656395535e-05,0.0003006561265189893,0.0006630773768942773,0.0036959578861345023,0.0001298890235220263,0.0008571503080525357,5.9577398412640155e-05,0.0003910919615968491,1.821654729874228e-05,0.0001459898568961925,0.03921202548783409,0.10398176356575478,0.05988326249282108,0.016571338168975557,0.0038560277845012133,0.0007915785935830943,0.03171687917762424,0.023934796079448213,0.008377517555164476,0.002310211550470378,0.0005153739355760947,0.013802877845445045,0.012144205570649075,0.005240226864137297,0.0016733511638763392,0.0004431049997894113
hw_alphaS_dn,1.0,0.0024977860183331554,0.08182293063595593,0.04045288546647106,0.2132097748435935,0.010511044784889817,0.11477505613499293,0.022843669665251094,0.01368240256700749,0.07990146431068725,0.06962385931326356,0.0028296311642675297,0.013670300745193851,0.00033794920122419934,0.0021238842952051125,0.00013043273690719628,0.0008912211785961651,3.332965677003612e-05,0.00029865485780551,0.0006602359009042001,0.0036713545556554994,0.00012918845282086628,0.0008525295047769358,5.9402297858145664e-05,0.0003898302639783802,1.81608576149281e-05,0.00014580361180800005,0.03942813123505657,0.10438260389541186,0.06031930393905446,0.01680092767040598,0.003938242544219336,0.0008163920885001393,0.031199718572940013,0.0235859619032605,0.008282983071043472,0.0022950570123744223,0.0005150495461534966,0.013599634440561377,0.011984383648524728,0.005185828330030986,0.00166101710582128,0.0004419819748091575
hw_pdf4lhc_unc_0,1.0,0.0024976284104910955,0.08176329830513385,0.04029760105244747,0.21247777840011367,0.01047705166785236,0.11412352579693735,0.02303496768297064,0.013733923405894669,0.08049789547318548,0.07020664574681826,0.0028557581719843967,0.013779678674959571,0.00034130861477068533,0.0021393900901335015,0.000131440561940556,0.0008961190093635089,3.3609273861301546e-05,0.00029983482392634557,0.0006648501242449534,0.0037031874372869785,0.0001309372199125298,0.0008591270944386493,6.018431348858432e-05,0.0003921550375500946,1.836762143332807e-05,0.0001465530083035348,0.03939339397716973,0.10398331814719389,0.060048142040971794,0.016707816890892287,0.003917421584251924,0.0008150104778112431,0.031465379387672326,0.02378075392106323,0.008353333667176827,0.002316411178068817,0.0005222910518985557,0.013708094629048264,0.012079223566939416,0.00522394814098288,0.0016748115778512126,0.0004478327415642721
hw_pdf4lhc_unc_1,1.0,0.0024885020960675416,0.08146609446051195,0.040407469260887625,0.2127159152457182,0.010481630447464628,0.11401073873174099,0.023057901960963103,0.013739295375946207,0.08049246529673812,0.07028240996382566,0.0028537616943795975,0.013777256007242248,0.0003406462348713319,0.0021401471316067635,0.00013112311333881614,0.0008968690057094007,3.348091951271298e-05,0.00029985646538297194,0.0006607516726353402,0.003679274330191599,0.00012938279997637804,0.0008521793436560271,5.937579740891478e-05,0.0003896388937577282,1.8079536911746848e-05,0.00014538530969099338,0.03925398143194911,0.10421056351761376,0.06002426185446198,0.016629807854007493,0.0038750057749607327,0.0008002712131495341,0.031547719242765,0.023796646899810436,0.008324935134381732,0.0022963863714776816,0.0005129228574820773,0.013760504378754862,0.012095609758280636,0.005215842683975406,0.0016650794291205374,0.00044083050167243967
hw_pdf4lhc_unc_2,1.0,0.0024958154109943564,0.08158053381472019,0.04037833133518894,0.21274592748899168,0.010486557859042699,0.11418706149237602,0.023013911989329637,0.013733433090837802,0.08043719805138456,0.07012427694374605,0.002849398877570907,0.013750752874231392,0.0003409920966459267,0.002134408657856641,0.00013100523823628398,0.0008949757473454393,3.344678333122219e-05,0.0002992413391854841,0.0006599481169892153,0.003682257423609277,0.00012961376855238823,0.0008537662370262352,5.926597958633192e-05,0.00038972079054715376,1.8105681027187647e-05,0.00014555079323097847,0.039304869044152986,0.10417993199995418,0.060102576133885706,0.01668945781799197,0.0038993560884838614,0.0008044726877387757,0.031462437930340925,0.023762792025935394,0.00833141719171863,0.002303764161349154,0.0005152723933340037,0.013702161354249363,0.01206358519704441,0.005212567369448831,0.0016668481798095879,0.00044299254297830063
hw_pdf4lhc_unc_3,1.0,0.0024766782099202617,0.08109835411007209,0.04051307905545423,0.21336713420171072,0.010512537898341931,0.11456361380090155,0.02294356706270705,0.013736736639328373,0.08036974479158,0.0698147830578965,0.002828344258859331,0.013642142504817515,0.0003371435353703306,0.0021155081785644387,0.00013011245313972715,0.0008868915587860945,3.326449929021752e-05,0.00029684803162379554,0.0006590904314508608,0.003648224675493121,0.0001282160709767304,0.0008434832096230747,5.8836396544614355e-05,0.0003857467008587465,1.797187075740389e-05,0.0001437471676842726,0.03907717023214398,0.10452328434143976,0.060289323425667604,0.016735518957003984,0.003906569697197067,0.0008051471967819426,0.03140012046347347,0.023703799399431912,0.008304399070732027,0.0022942985050165296,0.0005125088305290306,0.01363609310992008,0.011992779922436858,0.005175633536543573,0.001653787604227704,0.00043776533570143405
hw_pdf4lhc_unc_4,1.0,0.0024936586697669634,0.0816530275118867,0.040378475763517066,0.21265176778626158,0.010480311616571638,0.11404255279131796,0.02305905810593403,0.01374160074270675,0.08049756806368535,0.0702340542014643,0.002848191253158958,0.013744864182219622,0.0003394133173237635,0.0021299326065691068,0.000130446752591819,0.0008928537172701767,3.326923082222471e-05,0.0002991188589561166,0.0006571647226527804,0.0036656693282160284,0.00012865097880437692,0.0008476520283064213,5.890428163030033e-05,0.0003870645073449029,1.7907462504432844e-05,0.0001447884172233493,0.039347052080664024,0.10415804911356427,0.06002640874693191,0.01664095691820748,0.0038804442333099016,0.0007998874222439485,0.031548714180076876,0.023791537287202458,0.008322707578266577,0.0022946307861132116,0.0005119987740358086,0.013738797517808552,0.012076999267141827,0.005205696763814025,0.0016593825362838047,0.00043876989562860333
hw_pdf4lhc_unc_5,1.0,0.002497857735637231,0.08183134307479567,0.040356705031660764,0.21272332741238764,0.010488648483381411,0.1142625937501564,0.022975194417387098,0.013725097548807201,0.08039282290380997,0.06998324352224182,0.002843287092065526,0.013717251327088098,0.0003394039435673825,0.0021291965285941705,0.00013094698994466365,0.0008924803047899337,3.337769426591121e-05,0.00029872618726103293,0.0006622037104889608,0.003680135405987719,0.0001297050583134512,0.0008521526154224621,5.942651578964229e-05,0.0003891359477281425,1.8105751832464602e-05,0.00014539099816028727,0.03943030725862238,0.10414177029406889,0.060124365334591555,0.016719571526039815,0.003914657851964951,0.000810988054242738,0.03140345015753176,0.02373089789200184,0.008329883788468866,0.002307759132856527,0.0005180914879575041,0.01366491209357555,0.012033938666752323,0.005202829262178222,0.001665739256920082,0.00044307799066198636
hw_pdf4lhc_unc_6,1.0,0.0024910573747723526,0.08151575977887947,0.040389081278695414,0.2128001431199175,0.010489563981897418,0.1142212395573952,0.02301017643930075,0.01373363574446149,0.0804332835259689,0.0701094345240903,0.0028475189079000323,0.013745836450782332,0.0003402983527158005,0.0021338661101901577,0.00013081971508208757,0.0008945383676160384,3.3499017323930063e-05,0.00029946677734257434,0.0006585371117331337,0.0036816209403993643,0.00012947455242416335,0.0008543174436773235,5.9372401755308126e-05,0.0003898611639377086,1.811165496281929e-05,0.0001456126911371053,0.0392751870069201,0.10420988153031184,0.06012417424534249,0.016692213570216313,0.0038991289485311577,0.000804580628148623,0.03145604130724608,0.02375861334039164,0.008329907186733342,0.002302162437537243,0.0005152550579397875,0.013696978630033408,0.012059972555793497,0.0052113357851890085,0.0016664455692391993,0.0004419952160676041
