,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs,all_ratio,300pt_ratio,300pt450_ratio,450pt650_ratio,650pt_ratio
hw_nominal,1.0,0.012896085784405709,0.010855020266119106,0.0017450629783150552,0.0002960025399715475,4075.0,52.551549571453265,44.23420758443535,7.11113163663385,1.2062103503840562,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,0.01286527474149365,0.010831144148688254,0.0017391378166433723,0.00029499277616202424,4075.0,52.42599457158663,44.13691240590463,7.086986602821742,1.2020955628602488,1.0,0.9976108221186528,0.9978004539056113,0.9966046144206188,0.9965886650512514
hw_alphaS_dn,1.0,0.012946431638247045,0.010894561122882292,0.001753996339449275,0.0002978741759154776,4075.0,52.75670892585671,44.39533657574534,7.147535083255796,1.2138372668555713,1.0,1.0039039639378187,1.0036426331590187,1.0051192199050865,1.0063230401472567
hw_pdf4lhc_unc_0,1.0,0.012896085784405709,0.010855020266119106,0.0017450629783150552,0.0002960025399715475,4075.0,52.551549571453265,44.23420758443535,7.11113163663385,1.2062103503840562,1.0,1.0,1.0,1.0,1.0
hw_pdf4lhc_unc_1,1.0,0.012891421367913082,0.010851431450487694,0.0017423497405449973,0.0002976401768803908,4075.0,52.53254207424581,44.21958316073735,7.100075192720864,1.2128837207875927,1.0,0.9996383075787021,0.9996693865563187,0.9984451920625366,1.0055325096500884
hw_pdf4lhc_unc_2,1.0,0.012888435817439148,0.010846080418070274,0.0017450832492992695,0.0002972721500696041,4075.0,52.52037595606453,44.19777770363637,7.111214240894523,1.2113840115336367,1.0,0.999406799311477,0.9991764319338274,1.0000116161906283,1.0042891864988004
hw_pdf4lhc_unc_3,1.0,0.012926729324402036,0.01087311972397334,0.0017524055195867888,0.0003012040808419071,4075.0,52.676421996938295,44.307962875191365,7.141052492316164,1.2274066294307713,1.0,1.0023761892180791,1.0016673813047339,1.0042076081854783,1.0175726224202655
hw_pdf4lhc_unc_4,1.0,0.012888678675087644,0.010849431171241642,0.0017438536710240476,0.00029539383282195487,4075.0,52.52136560098215,44.21143202280969,7.106203709422994,1.2037298687494662,1.0,0.9994256311998931,0.9994851142844101,0.9993070122362144,0.9979435745732075
hw_pdf4lhc_unc_5,1.0,0.012873425284572991,0.010838016392382242,0.0017399760850409201,0.0002954328071498288,4075.0,52.45920803463494,44.164916798957634,7.09040254654175,1.2038886891355522,1.0,0.9982428389348867,0.9984335474904698,0.9970849801197166,0.9980752434699597
hw_pdf4lhc_unc_6,1.0,0.012910696952311488,0.010865019036258345,0.0017472537641866634,0.00029842415186647907,4075.0,52.611090080669314,44.27495257275276,7.120059089060653,1.2160784188559022,1.0,1.0011329924560093,1.000921119435442,1.0012554193738747,1.0081810510651845
hw_pdf4lhc_unc_7,1.0,0.012885822572228,0.010848154564922767,0.0017419232038867081,0.0002957448034185218,4075.0,52.5097269818291,44.206229852060275,7.098337055838336,1.2051600739304762,1.0,0.9992041606771785,0.9993675091314415,0.9982007672689391,0.9991292758736107
hw_pdf4lhc_unc_8,1.0,0.012908464972348599,0.010865157309419273,0.0017471950298636222,0.0002961126330657019,4075.0,52.601994762320544,44.27551603588354,7.119819746694261,1.2066589797427354,1.0,1.0009599182379711,1.0009338576116535,1.0012217619507495,1.000371932937349
hw_pdf4lhc_unc_9,1.0,0.012944560344921224,0.010887438244164842,0.0017557433719737926,0.00030137872878258944,4075.0,52.74908340555399,44.36631084497173,7.154654240793205,1.228118319789052,1.0,1.0037588584106762,1.0029864502553643,1.0061203485441252,1.0181626441839273
hw_pdf4lhc_unc_10,1.0,0.01289105410308105,0.010851401251117535,0.0017443801291937011,0.00029527272276981314,4075.0,52.531045470055275,44.219460098303955,7.108349026464332,1.2032363452869885,1.0,0.9996098287954363,0.9996666044914843,0.9996086965743703,0.9975344225025754
hw_pdf4lhc_unc_11,1.0,0.012900270950020876,0.010857570081340358,0.0017462503745162125,0.00029645049416430433,4075.0,52.56860412133507,44.24459808146196,7.115970276153566,1.2080357637195402,1.0,1.0003245299143582,1.0002348973248085,1.0006804317184608,1.0015133457733163
hw_pdf4lhc_unc_12,1.0,0.012945606291053676,0.010891991314642219,0.0017547646117459684,0.0002988503646654893,4075.0,52.75334563604373,44.38486460716704,7.150665792864821,1.2178152360118688,1.0,1.003839964115922,1.0034058940118709,1.0055594746731036,1.009620946814225
