,all_acc,300pt_acc,300pt450_acc,450pt650_acc,650pt_acc,all_xs,300pt_xs,300pt450_xs,450pt650_xs,650pt_xs
hw_nominal,1.0,0.012896085784405709,0.010855020266119106,0.0017450629783150552,0.0002960025399715475,4075.0,52.551549571453265,44.23420758443535,7.11113163663385,1.2062103503840562
hw_alphaS_up,1.0,0.01286527474149365,0.010831144148688254,0.0017391378166433723,0.00029499277616202424,4075.0,52.42599457158663,44.13691240590463,7.086986602821742,1.2020955628602488
hw_alphaS_dn,1.0,0.012946431638247045,0.010894561122882292,0.001753996339449275,0.0002978741759154776,4075.0,52.75670892585671,44.39533657574534,7.147535083255796,1.2138372668555713
hw_pdf4lhc_unc_0,1.0,0.012896085784405709,0.010855020266119106,0.0017450629783150552,0.0002960025399715475,4075.0,52.551549571453265,44.23420758443535,7.11113163663385,1.2062103503840562
hw_pdf4lhc_unc_1,1.0,0.012891421367913082,0.010851431450487694,0.0017423497405449973,0.0002976401768803908,4075.0,52.53254207424581,44.21958316073735,7.100075192720864,1.2128837207875927
hw_pdf4lhc_unc_2,1.0,0.012888435817439148,0.010846080418070274,0.0017450832492992695,0.0002972721500696041,4075.0,52.52037595606453,44.19777770363637,7.111214240894523,1.2113840115336367
hw_pdf4lhc_unc_3,1.0,0.012926729324402036,0.01087311972397334,0.0017524055195867888,0.0003012040808419071,4075.0,52.676421996938295,44.307962875191365,7.141052492316164,1.2274066294307713
hw_pdf4lhc_unc_4,1.0,0.012888678675087644,0.010849431171241642,0.0017438536710240476,0.00029539383282195487,4075.0,52.52136560098215,44.21143202280969,7.106203709422994,1.2037298687494662
hw_pdf4lhc_unc_5,1.0,0.012873425284572991,0.010838016392382242,0.0017399760850409201,0.0002954328071498288,4075.0,52.45920803463494,44.164916798957634,7.09040254654175,1.2038886891355522
hw_pdf4lhc_unc_6,1.0,0.012910696952311488,0.010865019036258345,0.0017472537641866634,0.00029842415186647907,4075.0,52.611090080669314,44.27495257275276,7.120059089060653,1.2160784188559022
hw_pdf4lhc_unc_7,1.0,0.012885822572228,0.010848154564922767,0.0017419232038867081,0.0002957448034185218,4075.0,52.5097269818291,44.206229852060275,7.098337055838336,1.2051600739304762
hw_pdf4lhc_unc_8,1.0,0.012908464972348599,0.010865157309419273,0.0017471950298636222,0.0002961126330657019,4075.0,52.601994762320544,44.27551603588354,7.119819746694261,1.2066589797427354
hw_pdf4lhc_unc_9,1.0,0.012944560344921224,0.010887438244164842,0.0017557433719737926,0.00030137872878258944,4075.0,52.74908340555399,44.36631084497173,7.154654240793205,1.228118319789052
hw_pdf4lhc_unc_10,1.0,0.01289105410308105,0.010851401251117535,0.0017443801291937011,0.00029527272276981314,4075.0,52.531045470055275,44.219460098303955,7.108349026464332,1.2032363452869885
hw_pdf4lhc_unc_11,1.0,0.012900270950020876,0.010857570081340358,0.0017462503745162125,0.00029645049416430433,4075.0,52.56860412133507,44.24459808146196,7.115970276153566,1.2080357637195402
hw_pdf4lhc_unc_12,1.0,0.012945606291053676,0.010891991314642219,0.0017547646117459684,0.0002988503646654893,4075.0,52.75334563604373,44.38486460716704,7.150665792864821,1.2178152360118688
hw_pdf4lhc_unc_13,1.0,0.012902597398476936,0.010859977867232548,0.0017460235365306513,0.0002965959947137362,4075.0,52.578084398793514,44.25440980897263,7.115045911362404,1.208628678458475
hw_pdf4lhc_unc_14,1.0,0.012896371036698745,0.010857470778665505,0.0017422194087875708,0.00029668084924566865,4075.0,52.552711974547385,44.24419342306193,7.099544090809351,1.2089744606760997
hw_pdf4lhc_unc_15,1.0,0.012892665406367198,0.010850972713953619,0.0017451548741312208,0.0002965378182823591,4075.0,52.53761153094633,44.217713809360994,7.111506112084725,1.2083916095006133
hw_pdf4lhc_unc_16,1.0,0.012900910510209597,0.010858456496728997,0.0017459805149265847,0.00029647349855401465,4075.0,52.571210329104105,44.24821022417066,7.114870598325833,1.2081295066076096
hw_pdf4lhc_unc_17,1.0,0.012915579257884386,0.010869708748329576,0.0017484822221354736,0.0002973882874193361,4075.0,52.63098547587887,44.29406314944302,7.125065055202055,1.2118572712337945
hw_pdf4lhc_unc_18,1.0,0.012889407084415105,0.010848631579283856,0.0017440192411765584,0.00029675626395468994,4075.0,52.524333868991555,44.20817368558171,7.1068784077944755,1.2092817756153615
hw_pdf4lhc_unc_19,1.0,0.01289455450727194,0.010852796210620939,0.0017457018938417913,0.00029605640280920976,4075.0,52.54530961713316,44.22514455828033,7.113735217405299,1.2064298414475298
hw_pdf4lhc_unc_20,1.0,0.012908578300766839,0.010864292831338974,0.0017473971747894472,0.00029688829463841586,4075.0,52.60245657562487,44.27199328770632,7.120643487266997,1.2098198006515446
hw_pdf4lhc_unc_21,1.0,0.012897793182950607,0.010855073304596173,0.0017461617338964508,0.000296558144457984,4075.0,52.55850722052372,44.2344237162294,7.115609065628036,1.2084744386662847
hw_pdf4lhc_unc_22,1.0,0.012905006339926719,0.01086178598152906,0.0017468883278437676,0.000296332030553891,4075.0,52.58790083520138,44.26177787473092,7.118569935963353,1.207553024507106
hw_pdf4lhc_unc_23,1.0,0.012906195080917948,0.010862469234164574,0.001747199643944514,0.00029652620280885947,4075.0,52.59274495474064,44.26456212922064,7.119838549073895,1.2083442764461023
hw_pdf4lhc_unc_24,1.0,0.012926052704669285,0.010879253691899873,0.0017489171628462415,0.0002978818499231703,4075.0,52.673664771527335,44.33295879449198,7.126837438598434,1.213868538436919
hw_pdf4lhc_unc_25,1.0,0.01290381396207485,0.010860106195875987,0.0017476757777760488,0.000296031988422815,4075.0,52.58304189545502,44.25493274819465,7.121778794437399,1.2063303528229712
hw_pdf4lhc_unc_26,1.0,0.012936886239803663,0.010886288051107565,0.0017496849004389314,0.00030091328825716687,4075.0,52.717811427199926,44.36162380826333,7.129965969288645,1.226221649647955
hw_pdf4lhc_unc_27,1.0,0.012882795765397446,0.010845404978291751,0.0017425339484551223,0.00029485683865057127,4075.0,52.49739274399459,44.195025286538886,7.100825839954624,1.201541617501078
hw_pdf4lhc_unc_28,1.0,0.012898764933533077,0.010856156471470878,0.001746581360475767,0.0002960271015864331,4075.0,52.56246710414729,44.23883762124383,7.117319043938751,1.2063104389647148
hw_pdf4lhc_unc_29,1.0,0.012880223116099071,0.010842828756044537,0.0017421189176006035,0.00029527544245393027,4075.0,52.48690919810372,44.18452718088149,7.0991345892224595,1.2032474279997658
hw_pdf4lhc_unc_30,1.0,0.01289874984501313,0.010856737733266328,0.001745833819671125,0.0002961782920756765,4075.0,52.56240561842851,44.241206263060285,7.1142728151598345,1.2069265402083817
hw_pdf4lhc_unc_31,1.0,0.012863070696049462,0.010829643814991633,0.001738978394058041,0.0002944484869997879,4075.0,52.41701308640156,44.13079854609091,7.086336955786517,1.1998775845241356
hw_pdf4lhc_unc_32,1.0,0.012925151385146763,0.010877073855817796,0.0017511566216293652,0.0002969209076996001,4075.0,52.66999189447306,44.32407596245752,7.135963233139663,1.2099526988758704
hw_pdf4lhc_unc_33,1.0,0.01290325176379296,0.010859835146152427,0.001746650228334013,0.00029676638930652095,4075.0,52.580750937456315,44.25382822057114,7.117599680461103,1.2093230364240728
hw_pdf4lhc_unc_34,1.0,0.012942772715720485,0.010887031029758444,0.0017554230170417032,0.0003003186689203379,4075.0,52.74179881656097,44.36465144626566,7.15334879444494,1.2237985758503769
hw_pdf4lhc_unc_35,1.0,0.012888965020403131,0.010849571420451946,0.0017437375799659093,0.00029565601998527487,4075.0,52.522532458142756,44.21200353834168,7.10573063836108,1.2047982814399951
hw_pdf4lhc_unc_36,1.0,0.012896165659810976,0.010855973413333171,0.0017444854991574554,0.00029570674732034966,4075.0,52.551875063729725,44.238091659332675,7.108778409066631,1.205004995330425
hw_pdf4lhc_unc_37,1.0,0.012903493215326233,0.010861389076424147,0.0017459943366838324,0.00029610980221825165,4075.0,52.581734852454396,44.2601604864284,7.1149269219866165,1.2066474440393755
hw_pdf4lhc_unc_38,1.0,0.012908788154841514,0.010865503295067766,0.0017469746601735648,0.0002963101996001841,4075.0,52.60331173097917,44.276925927401145,7.118921740207276,1.20746406337075
