,ALL_acc,UNKNOWN_acc,GG2H_FWDH_acc,GG2H_PTH_200_300_PTHJoverPTH_0_15_acc,GG2H_PTH_300_450_PTHJoverPTH_0_15_acc,GG2H_PTH_450_650_PTHJoverPTH_0_15_acc,GG2H_PTH_GT650_PTHJoverPTH_0_15_acc,GG2H_PTH_200_300_PTHJoverPTH_GT15_acc,GG2H_PTH_300_450_PTHJoverPTH_GT15_acc,GG2H_PTH_450_650_PTHJoverPTH_GT15_acc,GG2H_PTH_GT650_PTHJoverPTH_GT15_acc,GG2H_0J_PTH_0_10_acc,GG2H_0J_PTH_GT10_acc,GG2H_1J_PTH_0_60_acc,GG2H_1J_PTH_60_120_acc,GG2H_1J_PTH_120_200_acc,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25_acc,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25_acc,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25_acc,ALL_xs,UNKNOWN_xs,GG2H_xs,ALL_ratio,UNKNOWN_ratio,GG2H_FWDH_ratio,GG2H_PTH_200_300_PTHJoverPTH_0_15_ratio,GG2H_PTH_300_450_PTHJoverPTH_0_15_ratio,GG2H_PTH_450_650_PTHJoverPTH_0_15_ratio,GG2H_PTH_GT650_PTHJoverPTH_0_15_ratio,GG2H_PTH_200_300_PTHJoverPTH_GT15_ratio,GG2H_PTH_300_450_PTHJoverPTH_GT15_ratio,GG2H_PTH_450_650_PTHJoverPTH_GT15_ratio,GG2H_PTH_GT650_PTHJoverPTH_GT15_ratio,GG2H_0J_PTH_0_10_ratio,GG2H_0J_PTH_GT10_ratio,GG2H_1J_PTH_0_60_ratio,GG2H_1J_PTH_60_120_ratio,GG2H_1J_PTH_120_200_ratio,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_0_350_PTH_0_60_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_0_350_PTH_60_120_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_0_350_PTH_120_200_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25_ratio,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25_ratio,GG2H_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25_ratio
hw_nominal,1.0,1.5053068572125614e-06,0.08713115455170059,0.0021354756186304094,0.0005905641356510627,0.00010529078156022736,1.7751012607778513e-05,0.007094614905211302,0.0015360484952629087,0.00022083254604434455,2.6600998927791812e-05,0.13668399578758783,0.4252126734387313,0.13391007123752202,0.09289435658600101,0.015318825087148704,0.013270970653803877,0.019579173551283077,0.007176434889771567,0.010631954285525502,0.0167978404652461,0.011729384799346008,0.00517886539897397,0.007322618562730903,0.001176475270473376,0.0017672717935158632,0.0006515381911299604,0.0009952554629361256,0.000350443753724424,0.0004920124320948011,48520.0,0.07303748871195348,23.87244320523975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hw_alphaS_up,1.0,1.531601458752887e-06,0.08820714067268019,0.002169041513274132,0.0006000205784388701,0.00010683616333539488,1.8081323906058342e-05,0.00720410081653276,0.0015603244901780976,0.00022456820392389773,2.7068281762569987e-05,0.13199917156216645,0.4242752598325495,0.1353273183125545,0.09423950128564833,0.015562837885011097,0.01341313414206888,0.019868824201825452,0.0072893214692107315,0.010752230672583322,0.017038283552743817,0.011905173483036205,0.00525491760857186,0.007432438620213372,0.0011946934725240764,0.0017957351653497234,0.0006624226551513248,0.0010117467767652582,0.0003566996392260137,0.0005015760173094317,48520.0,0.07431330277869008,24.336468359853626,1.0,1.0174679344708601,1.012349040093818,1.015718228927966,1.0160125585299593,1.0146772751827617,1.0186080256703263,1.0154322557015796,1.0158041852129374,1.0169162469322028,1.0175663641822854,0.9657251443490006,0.9977954241142417,1.0105835734529531,1.0144803704884051,1.0159289499340978,1.010712365506155,1.0147938139362065,1.0157301753827739,1.011312726129905,1.0143139285073688,1.0149870335654771,1.0146851102971237,1.0149973751249872,1.015485410112675,1.0161058259053828,1.0167057958682169,1.0165699304784332,1.0178513254555226,1.0194376901695603
hw_alphaS_dn,1.0,1.4829722335145899e-06,0.08648282304303814,0.0021059419051940244,0.0005827537936741108,0.00010385757266819048,1.7505475167282548e-05,0.007000727621756847,0.0015164084798759043,0.00021805380428826623,2.572019422683472e-05,0.14128469542176855,0.4257050896491963,0.13245658041839342,0.09158356538162175,0.015093416943758568,0.013126501957486898,0.019299430307560105,0.007072452217008485,0.010511216888738259,0.016567436223660494,0.011568641716817941,0.0051059512999925664,0.0072203446847555605,0.001158750299866044,0.001741128740871328,0.0006413899407940692,0.0009799728582185407,0.00034451323820730914,0.00048364694916074334,48520.0,0.0719538127701279,23.466549973279268,1.0,0.9851627436685372,0.9925591309790605,0.9861699599008643,0.9867747776990531,0.9863880876293327,0.9861676938706939,0.9867664017414828,0.9872139353363041,0.987416973603518,0.9668882847840403,1.0336593879017877,1.0011580468815353,0.9891457692039423,0.9858894420226084,0.9852855462407991,0.9891139314458833,0.9857122036846832,0.9855105390963295,0.988643913099625,0.9862836986657719,0.9862956936550474,0.9859208352864608,0.9860331550661571,0.9849338349456337,0.9852071126012115,0.9844241665737336,0.984644540736808,0.9830771259179629,0.9829974155359433
hw_pdf4lhc_unc_0,1.0,1.502937839475102e-06,0.08626228275581135,0.002133880336186304,0.0005893761300832639,0.00010460375444354549,1.765008870398261e-05,0.0070890164316400215,0.0015329980803890971,0.00022002501903116482,2.6345333261722488e-05,0.136795729176175,0.4257103736562316,0.13403471268780845,0.09297323226405188,0.015322760663609205,0.013284467397030559,0.0195954761326657,0.007178274713633392,0.010643975254041137,0.01681465920748449,0.01173400304035037,0.005181409305128711,0.00732472315250862,0.0011762038344149879,0.0017669993515931751,0.000651002572894487,0.0009941206789328197,0.0003495281933025736,0.0004906678507529744,48520.0,0.07292254397133195,23.80720411853432,1.0,0.9984262227159144,0.990028000887172,0.9992529615275455,0.9979883547000546,0.9934749547253681,0.9943144706149509,0.9992108840795336,0.9980141155157413,0.9963432608660068,0.9903888697276623,1.0008174577275368,1.0011704736208245,1.0009307847358646,1.0008490900949172,1.000256911116754,1.0010170125139124,1.0008326491074775,1.0002563701740605,1.0011306452410167,1.001001244313112,1.0003937325855845,1.0004912091662481,1.000287409450552,0.999769280268612,0.9998458403943934,0.9991779173611535,0.9988598063054502,0.9973874254794954,0.9972671801480666
hw_pdf4lhc_unc_1,1.0,1.4885984640682276e-06,0.08649882221647759,0.00212614003830788,0.0005866921142688843,0.00010430448454990555,1.756512410883557e-05,0.007057278277256335,0.001524213071545408,0.00021853705528123576,2.6254460396403472e-05,0.1370560973946403,0.42568884097194776,0.1339953578103359,0.09283943386356727,0.015282964623155192,0.01327534536160973,0.019559171245720968,0.007157350470972754,0.010626645339537654,0.016766185272564665,0.011688519903102004,0.0051750351400035016,0.007307068987589988,0.0011748432834817915,0.0017627428748942739,0.0006506694673741196,0.0009920285888325101,0.0003500792347568383,0.0004903247252561528,48520.0,0.0722267974765904,23.79055566942853,1.0,0.9889003407748548,0.9927427527102514,0.9956283367316004,0.9934435209515226,0.9906326366306092,0.9895280059199841,0.9947373284591471,0.9922948892863731,0.9896052877882963,0.9869727248841663,1.0027223494960649,1.0011198338218983,1.0006368943875967,0.9994087614743002,0.997659059112595,1.0003296449008874,0.9989783886684636,0.9973406825127037,0.9995006613229069,0.9981155201023055,0.9965160239055093,0.9992604057693357,0.9978765007343062,0.9986128165780077,0.9974373389321292,0.9986666572003491,0.9967577428873429,0.9989598360258625,0.9965697882237188
hw_pdf4lhc_unc_2,1.0,1.5032697785093037e-06,0.08696445316550604,0.002133639079510459,0.0005898522257446763,0.00010505354330867095,1.762616318145939e-05,0.0070879975332710865,0.0015339389954808112,0.00022022274844412005,2.5952618895130533e-05,0.1367491113478325,0.42533581753322375,0.13392648449161043,0.0928899725115862,0.015312903674680894,0.01327300767392284,0.019577944645640374,0.007173329571009748,0.010632657957502274,0.016796502009764517,0.01172507533353846,0.005178040199049373,0.007319882075075016,0.001175934119146602,0.001766031816252192,0.0006509901459531536,0.0009944783982483935,0.0003500627145166849,0.0004915344383255983,48520.0,0.07293864965327142,23.84925094755803,1.0,0.9986467352530168,0.9980867763424891,0.9991399859104323,0.9987945256689157,0.9977468278985021,0.992966630745087,0.9990672683396312,0.99862667110537,0.9972386425318756,0.9756257261457999,1.0004763949127289,1.0002896058894402,1.0001225692282645,0.9999528058046159,0.9996134551811824,1.0001534944332333,0.9999372340390423,0.9995672894954785,1.0000661846315244,0.9999203197884662,0.9996325923412634,0.9998406600942439,0.9996262965724018,0.9995400232029049,0.9992983664039563,0.9991588441256892,0.9992192309244505,0.9989126951081607,0.9990284924972979
hw_pdf4lhc_unc_3,1.0,1.482411379685504e-06,0.08718765450222428,0.0021139585422377573,0.0005828271344865296,0.00010393291865193415,1.74544817382858e-05,0.007015020225284876,0.0015146482408402728,0.00021736858275024035,2.618982378587563e-05,0.13763746908276508,0.4256351548314786,0.13367769218836412,0.09248153163073083,0.015207603662533853,0.013241475742130693,0.0194757347492773,0.007120296551791514,0.010594083589633022,0.01668912004500037,0.011624547123169458,0.0051564144341546625,0.0072754571803660024,0.0011712777988870078,0.001756163451554638,0.0006485088014177748,0.0009886648967292761,0.0003491887265708233,0.0004890786500652068,48520.0,0.07192660014234066,23.730096101163838,1.0,0.9847901592838991,1.0006484471692632,0.9899239887335018,0.986898965417188,0.987103686683943,0.983294988514471,0.9887809724713937,0.9860679825613363,0.9843140725579073,0.9845428683700069,1.0069757493529747,1.0009935766714821,0.9982646633893151,0.9955559737917127,0.9927395590730939,0.9977774864821414,0.9947168964136898,0.992177405795172,0.9964380305938639,0.9935277144421828,0.9910619629272973,0.9956648873663032,0.9935594921460292,0.9955821667341321,0.9937144122358644,0.995350403470698,0.9933780155424552,0.9964187486857374,0.9940371790665871
hw_pdf4lhc_unc_4,1.0,1.4824586735245426e-06,0.08409219778086482,0.002099115556850155,0.0005759087425126246,0.00010175881882525693,1.7012179747270178e-05,0.006975376752300635,0.001498229505505744,0.00021340782690970785,2.5451360335256493e-05,0.1381820604284681,0.42771796990107225,0.13404314596235162,0.09262433530389265,0.015172885460095759,0.013283046137902649,0.01950588316864577,0.007107354966748117,0.01063394390798512,0.016727763710912658,0.01161863902393737,0.005148497624608297,0.007266683439289063,0.001165849964311209,0.0017481310910756331,0.0006438365475246278,0.0009815821664298874,0.00034513322168364206,0.00048331699054051183,48520.0,0.07192889483941081,23.450540381025633,1.0,0.9848215773557774,0.965122041748769,0.9829733191692565,0.9751840786567891,0.9664551570172351,0.9583779879585812,0.983193146562038,0.9753790392205738,0.9663785104703463,0.9567821270300411,1.010960058873376,1.0058918668676555,1.0009937618851203,0.9970932434215379,0.9904731840580008,1.0009099171728868,0.996256717248798,0.9903740612038565,1.000187136099929,0.9958282283679007,0.9905582622359859,0.9941362109214714,0.9923613222561494,0.9909685257065439,0.9891693498926099,0.9881792906230475,0.9862615207698531,0.9848462642454231,0.9823267848796677
hw_pdf4lhc_unc_5,1.0,1.4933877744687153e-06,0.08613584962141302,0.002128352448742642,0.000586754476915316,0.00010408558996291972,1.7559200694639644e-05,0.00706408981088723,0.0015254994448950189,0.0002187395858973237,2.6259501641624745e-05,0.137087640766452,0.42585017512574064,0.13403056774403613,0.092878651452495,0.015294750620195493,0.01328181790813551,0.019570938670081355,0.0071633516470647,0.010634101941429112,0.01678167679266967,0.011700433987701705,0.005178421798804808,0.007313052136877632,0.0011762908375752726,0.0017645145394832226,0.0006511401119480573,0.0009929084230018011,0.0003501615627836589,0.0004907208647000328,48520.0,0.07245917481722207,23.80977635524559,1.0,0.9920819581158906,0.9885769339863735,0.9966643637484675,0.9935491193830341,0.988553683623117,0.9891943114808663,0.9956974275937585,0.9931323454953261,0.9905224108288795,0.9871622382642825,1.0029531253936375,1.0014992537307361,1.0008998315466533,0.9998309355478289,0.9984284390730848,1.000817367064897,0.9995794060877926,0.9981769161278793,1.0002020001070295,0.9990377529415241,0.9975317706649101,0.9999143441400794,0.9986935785646462,0.9998432326605308,0.9984398245687183,0.9993890163503498,0.9976417713624998,0.9991947611056952,0.9973749293503228
hw_pdf4lhc_unc_6,1.0,1.5058194783310889e-06,0.08709096670550016,0.002135750631752751,0.000590289027879743,0.00010497030588802737,1.7772723908360355e-05,0.007095113200545567,0.0015357916109309396,0.00022089888883195183,2.627283407264061e-05,0.13667127072747,0.4252307280332525,0.13392300014630923,0.09290496663706342,0.015320517400747094,0.01327233920040613,0.019581691391388694,0.007176974143692376,0.01063312362006378,0.016799506158721576,0.011730281675088751,0.005179336054438652,0.007323610030411458,0.0011765834533561577,0.0017675629369967875,0.0006516006973424701,0.0009950187470889446,0.0003502697684184252,0.0004922874289550694,48520.0,0.07306236108862443,23.885786052899967,1.0,1.0003405426050318,0.9995387660543786,1.0001287830776162,0.9995341610593804,0.996956279861816,1.0012231020878397,1.0000702357127094,0.9998327628764578,1.0003004212413236,0.987663438653488,0.9999069016087473,1.0000424601514701,1.0000965491890768,1.0001142163146648,1.0001104728064172,1.000103123323678,1.0001285978746255,1.000075142313571,1.0001099830291662,1.0000991611677061,1.0000764640054092,1.0000908800342205,1.000135397968918,1.000091955084392,1.000164741768636,1.0000959363754278,0.9997621556916827,0.9995035285858295,1.000558922584735
